"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Atilax paludinosus" 1 2 454 NA NA 0.0154185022026432
"Atilax paludinosus" 1 3 454 NA NA 0.0198237885462555
"Atilax paludinosus" 1 4 452 -0.764977990548598 0.444284650708468 0.0287610619469027
"Atilax paludinosus" 1 5 450 -1.3030242446616 0.192566484530359 0.0444444444444444
"Atilax paludinosus" 1 6 449 -2.07207170678623 0.0382587544467369 0.0601336302895323
"Atilax paludinosus" 1 7 447 -2.60742638120528 0.00912256848694911 0.0738255033557047
"Atilax paludinosus" 1 8 447 -2.75877587721183 0.00580183106824076 0.0760626398210291
"Atilax paludinosus" 1 9 447 -2.81778217504013 0.00483566033462046 0.0827740492170022
"Atilax paludinosus" 1 10 445 -2.43484464609445 0.0148981845389679 0.0876404494382022
"Atilax paludinosus" 1 11 440 -2.21635293078008 0.0266673406169614 0.0909090909090909
"Atilax paludinosus" 1 12 439 -2.21278449487215 0.026912506752433 0.10250569476082
"Atilax paludinosus" 1 13 438 -2.28697333741473 0.0221973794018332 0.105022831050228
"Atilax paludinosus" 1 14 436 -1.94649054788946 0.051595842252646 0.110091743119266
"Atilax paludinosus" 1 15 436 -1.92077935968155 0.0547595296795585 0.114678899082569
"Atilax paludinosus" 1 16 435 -2.19326945053068 0.0282879713212341 0.126436781609195
"Atilax paludinosus" 1 17 435 -2.44802557539633 0.014364145912352 0.131034482758621
"Atilax paludinosus" 1 18 434 -2.55696377051666 0.0105590214152131 0.138248847926267
"Atilax paludinosus" 1 19 432 -2.81332538421548 0.00490320081163079 0.155092592592593
"Atilax paludinosus" 1 20 430 -2.93388588948884 0.0033474725161469 0.158139534883721
"Atilax paludinosus" 1 21 429 -3.02409849903253 0.00249375232626327 0.165501165501166
"Atilax paludinosus" 1 22 427 -3.03865756288327 0.00237634801696469 0.17096018735363
"Atilax paludinosus" 1 23 426 -3.13915612339748 0.00169435149419083 0.173708920187793
"Atilax paludinosus" 1 24 425 -3.30621699466796 0.000945648232824812 0.178823529411765
"Atilax paludinosus" 1 25 423 -3.5034999320163 0.000459186772728991 0.184397163120567
"Atilax paludinosus" 1 26 422 -3.41560334863946 0.000636408744904439 0.18957345971564
"Atilax paludinosus" 1 27 422 -3.35902652951432 0.000782175580438155 0.194312796208531
"Atilax paludinosus" 1 28 422 -3.22618096217493 0.00125454009510543 0.196682464454976
"Atilax paludinosus" 1 29 422 -3.17458027485855 0.00150053378783962 0.196682464454976
"Atilax paludinosus" 1 30 420 -2.9275900826303 0.00341600087946354 0.202380952380952
"Atilax paludinosus" 1 31 419 -3.05583189832728 0.00224437048796919 0.205250596658711
"Atilax paludinosus" 1 32 419 -3.04186102867487 0.00235120418939265 0.205250596658711
"Atilax paludinosus" 1 33 415 -2.98465395785368 0.00283899292449632 0.207228915662651
"Atilax paludinosus" 1 34 415 -2.93511822750611 0.00333420622345134 0.212048192771084
"Atilax paludinosus" 1 35 413 -2.61381831163868 0.00895366362094888 0.215496368038741
"Atilax paludinosus" 1 36 412 -2.61773681167846 0.00885150461557446 0.216019417475728
"Atilax paludinosus" 1 37 410 -2.78602753471042 0.00533583390714068 0.219512195121951
"Atilax paludinosus" 1 38 410 -2.62703296563978 0.00861329891286866 0.221951219512195
"Atilax paludinosus" 1 39 409 -2.75373493217192 0.00589194660200936 0.222493887530562
"Atilax paludinosus" 1 40 408 -2.78619268526168 0.00533311600211521 0.230392156862745
"Atilax paludinosus" 1 41 407 -2.67940425397333 0.00737532924567911 0.228501228501229
"Atilax paludinosus" 1 42 407 -2.74646247895658 0.00602417763231036 0.230958230958231
"Atilax paludinosus" 1 43 405 -2.47417080510801 0.0133545832039793 0.234567901234568
"Atilax paludinosus" 1 44 403 -2.78559228040546 0.00534300293993681 0.24317617866005
"Atilax paludinosus" 1 45 402 -2.90871101362415 0.00362922164184321 0.251243781094527
"Atilax paludinosus" 1 46 401 -2.93185447216551 0.00336944597310137 0.254364089775561
"Atilax paludinosus" 1 47 398 -2.91036702725122 0.00361004545178202 0.256281407035176
"Atilax paludinosus" 1 48 397 -2.89943609781225 0.00373834538469168 0.254408060453401
"Atilax paludinosus" 1 49 395 -2.81650724546132 0.00485489478922832 0.258227848101266
"Atilax paludinosus" 1 50 391 -2.76775184245854 0.00564444165092886 0.258312020460358
"Atilax paludinosus" 1 51 388 -2.93688656914853 0.0033152534162108 0.260309278350515
"Atilax paludinosus" 1 52 386 -2.89742838295074 0.00376235627844676 0.259067357512953
"Atilax paludinosus" 1 53 382 -2.79742116954982 0.0051512335797339 0.256544502617801
"Atilax paludinosus" 1 54 381 -2.91298205318661 0.00357995175446613 0.257217847769029
"Atilax paludinosus" 1 55 376 -3.04301939841217 0.00234217234336577 0.26063829787234
"Atilax paludinosus" 1 56 373 -3.06632319821809 0.00216708928421476 0.262734584450402
"Atilax paludinosus" 1 57 370 -3.16343117309637 0.00155921215082426 0.264864864864865
"Atilax paludinosus" 1 58 366 -3.1974707952939 0.00138638449131691 0.26775956284153
