"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Bdeogale nigripes" 1 2 454 -1.99274443991977 0.046289438455329 0.0308370044052863
"Bdeogale nigripes" 1 3 454 -2.12160429465243 0.0338709814467656 0.0462555066079295
"Bdeogale nigripes" 1 4 452 -2.22372485237895 0.0261669620795568 0.0597345132743363
"Bdeogale nigripes" 1 5 450 -2.2282876908536 0.0258613366398188 0.0666666666666667
"Bdeogale nigripes" 1 6 449 -2.53558981817047 0.0112258136769068 0.0734966592427617
"Bdeogale nigripes" 1 7 447 -2.18706048298917 0.0287381089416117 0.0782997762863535
"Bdeogale nigripes" 1 8 447 -2.20419457959278 0.0275106628199657 0.0827740492170022
"Bdeogale nigripes" 1 9 447 -2.28631980645508 0.0222355559863618 0.0894854586129754
"Bdeogale nigripes" 1 10 445 -2.36125248417461 0.0182133256266224 0.103370786516854
"Bdeogale nigripes" 1 11 440 -2.22211770895389 0.0262753517912003 0.115909090909091
"Bdeogale nigripes" 1 12 439 -2.33138872896312 0.0197328713113768 0.118451025056948
"Bdeogale nigripes" 1 13 438 -2.39973410012994 0.0164069850553027 0.125570776255708
"Bdeogale nigripes" 1 14 436 -2.33324077352698 0.0196355119674613 0.135321100917431
"Bdeogale nigripes" 1 15 436 -2.2870789946401 0.0221912126981955 0.146788990825688
"Bdeogale nigripes" 1 16 435 -2.48652657938106 0.0128996933149579 0.149425287356322
"Bdeogale nigripes" 1 17 435 -2.69516938649539 0.00703528565224799 0.15632183908046
"Bdeogale nigripes" 1 18 434 -2.59575613343584 0.0094383027126781 0.165898617511521
"Bdeogale nigripes" 1 19 432 -2.88899865636613 0.00386470725489218 0.178240740740741
"Bdeogale nigripes" 1 20 430 -2.82247581010792 0.00476544168840248 0.181395348837209
"Bdeogale nigripes" 1 21 429 -2.85982030222967 0.00423881121692469 0.181818181818182
"Bdeogale nigripes" 1 22 427 -3.00256771563672 0.00267712407024418 0.192037470725995
"Bdeogale nigripes" 1 23 426 -2.90597140397169 0.00366114906346283 0.199530516431925
"Bdeogale nigripes" 1 24 425 -2.9645039927398 0.00303171308821184 0.2
"Bdeogale nigripes" 1 25 423 -3.0701179424771 0.00213974254601722 0.203309692671395
"Bdeogale nigripes" 1 26 422 -3.1781379092447 0.00148224229637252 0.206161137440758
"Bdeogale nigripes" 1 27 422 -3.21803387057629 0.00129072575035048 0.208530805687204
"Bdeogale nigripes" 1 28 422 -3.31072981203808 0.000930530084646245 0.210900473933649
"Bdeogale nigripes" 1 29 422 -3.38886382124105 0.000701828557840045 0.213270142180095
