"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Caracal aurata" 1 2 454 NA NA 0.00881057268722467
"Caracal aurata" 1 3 454 -1.22326618676609 0.221229173999112 0.0110132158590308
"Caracal aurata" 1 4 452 -1.24195983996395 0.214251379771592 0.0110619469026549
"Caracal aurata" 1 5 450 NA NA 0.0155555555555556
"Caracal aurata" 1 6 449 -1.8255826487658 0.0679131513812357 0.0178173719376392
"Caracal aurata" 1 7 447 NA NA 0.0201342281879195
"Caracal aurata" 1 8 447 NA NA 0.0268456375838926
"Caracal aurata" 1 9 447 -1.7786975141919 0.0752893669581932 0.029082774049217
"Caracal aurata" 1 10 445 -1.54482436840843 0.122388751312215 0.0269662921348315
"Caracal aurata" 1 11 440 -1.5444272606044 0.122484860218942 0.0272727272727273
"Caracal aurata" 1 12 439 -1.69525751608798 0.0900265802718851 0.0296127562642369
"Caracal aurata" 1 13 438 -1.80744844928748 0.0706923855669742 0.0319634703196347
"Caracal aurata" 1 14 436 -1.79492356089818 0.0726658794962183 0.0321100917431193
"Caracal aurata" 1 15 436 -1.97391247298759 0.0483916962481949 0.0344036697247706
"Caracal aurata" 1 16 435 -2.12707015618748 0.0334142544959057 0.0367816091954023
"Caracal aurata" 1 17 435 -2.16168497677681 0.0306424664062686 0.0367816091954023
"Caracal aurata" 1 18 434 -2.09812156642921 0.0358944078966644 0.0368663594470046
"Caracal aurata" 1 19 432 -1.95344760726612 0.050766579747469 0.0416666666666667
"Caracal aurata" 1 20 430 -1.90904138081019 0.0562567536938681 0.0418604651162791
"Caracal aurata" 1 21 429 -1.8825108436587 0.0597666889775903 0.0466200466200466
"Caracal aurata" 1 22 427 -1.9201422607507 0.0548399324619144 0.0468384074941452
"Caracal aurata" 1 23 426 -2.10171673502541 0.0355780967310794 0.0492957746478873
"Caracal aurata" 1 24 425 -1.83864127836236 0.0659679656673046 0.0517647058823529
"Caracal aurata" 1 25 423 -1.99495318602351 0.0460479859068134 0.0543735224586288
"Caracal aurata" 1 26 422 -1.66731138257154 0.0954525044569438 0.0592417061611374
"Caracal aurata" 1 27 422 -1.92317716265043 0.0544578043067864 0.0639810426540284
"Caracal aurata" 1 28 422 -1.94687960772189 0.0515491699726866 0.0639810426540284
