"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Cephalophus callipygus" 1 2 454 -3.71874826795126 0.000200212452648707 0.112334801762115
"Cephalophus callipygus" 1 3 454 -4.72988891415028 2.24642722235238e-06 0.140969162995595
"Cephalophus callipygus" 1 4 452 -5.40250454900318 6.57167903448067e-08 0.192477876106195
"Cephalophus callipygus" 1 5 450 -5.63683976742941 1.7319912778168e-08 0.224444444444444
"Cephalophus callipygus" 1 6 449 -6.08989543288764 1.1298446028324e-09 0.244988864142539
"Cephalophus callipygus" 1 7 447 -6.24014965615705 4.37152447556917e-10 0.263982102908277
"Cephalophus callipygus" 1 8 447 -6.17453544377688 6.63582942169621e-10 0.288590604026846
"Cephalophus callipygus" 1 9 447 -6.50118078602346 7.96919899460745e-11 0.304250559284116
"Cephalophus callipygus" 1 10 445 -6.63628073331569 3.21696889223374e-11 0.314606741573034
"Cephalophus callipygus" 1 11 440 -6.89762942293747 5.2877463261141e-12 0.331818181818182
"Cephalophus callipygus" 1 12 439 -6.61454591217454 3.7269397778013e-11 0.343963553530752
"Cephalophus callipygus" 1 13 438 -6.61637609117694 3.68111145581776e-11 0.367579908675799
"Cephalophus callipygus" 1 14 436 -6.98933180113988 2.76198517798781e-12 0.376146788990826
"Cephalophus callipygus" 1 15 436 -7.07332842500581 1.5126091629289e-12 0.380733944954128
"Cephalophus callipygus" 1 16 435 -7.28289788987708 3.26724529764337e-13 0.404597701149425
"Cephalophus callipygus" 1 17 435 -7.37222996174675 1.67797242845456e-13 0.420689655172414
"Cephalophus callipygus" 1 18 434 -7.37748422237453 1.61308479876475e-13 0.428571428571429
"Cephalophus callipygus" 1 19 432 -7.43202218221674 1.06949859135944e-13 0.439814814814815
"Cephalophus callipygus" 1 20 430 -7.70540090091139 1.30433161798615e-14 0.451162790697674
"Cephalophus callipygus" 1 21 429 -7.97041507792539 1.58142305244101e-15 0.456876456876457
"Cephalophus callipygus" 1 22 427 -8.09824967959037 5.5755547375042e-16 0.463700234192037
"Cephalophus callipygus" 1 23 426 -8.3128105114552 9.34616935254614e-17 0.471830985915493
"Cephalophus callipygus" 1 24 425 -8.379485357304 5.3159628466853e-17 0.477647058823529
"Cephalophus callipygus" 1 25 423 -8.50484663176746 1.81835812963074e-17 0.48936170212766
"Cephalophus callipygus" 1 26 422 -8.7061512000378 3.14367419834636e-18 0.492890995260663
"Cephalophus callipygus" 1 27 422 -8.56010199906001 1.12767708498923e-17 0.507109004739337
"Cephalophus callipygus" 1 28 422 -8.59330548241354 8.45024870388721e-18 0.509478672985782
"Cephalophus callipygus" 1 29 422 -8.63315489306749 5.9682529619751e-18 0.511848341232227
"Cephalophus callipygus" 1 30 420 -9.08474089643591 1.03945965358938e-19 0.516666666666667
"Cephalophus callipygus" 1 31 419 -9.12578759785749 7.12165211264697e-20 0.525059665871122
"Cephalophus callipygus" 1 32 419 -9.30767367900445 1.30662730368892e-20 0.525059665871122
"Cephalophus callipygus" 1 33 415 -9.37809005598691 6.71785604098101e-21 0.527710843373494
"Cephalophus callipygus" 1 34 415 -9.51890842027787 1.75007635939597e-21 0.532530120481928
"Cephalophus callipygus" 1 35 413 -9.41660580549382 4.65905457515537e-21 0.532687651331719
"Cephalophus callipygus" 1 36 412 -9.49667072187613 2.16707986004609e-21 0.536407766990291
"Cephalophus callipygus" 1 37 410 -9.64716048184733 5.05356496150834e-22 0.539024390243902
"Cephalophus callipygus" 1 38 410 -9.71420136622016 2.62297125352718e-22 0.541463414634146
"Cephalophus callipygus" 1 39 409 -9.85383068354384 6.59802038083089e-23 0.545232273838631
"Cephalophus callipygus" 1 40 408 -9.97781912668903 1.90610144304652e-23 0.549019607843137
"Cephalophus callipygus" 1 41 407 -9.99913382005559 1.53735831430742e-23 0.552825552825553
"Cephalophus callipygus" 1 42 407 -10.0656870615612 7.83384217102969e-24 0.552825552825553
"Cephalophus callipygus" 1 43 405 -10.1719494684479 2.6455985280998e-24 0.555555555555556
"Cephalophus callipygus" 1 44 403 -10.5083217148276 7.90884240600234e-26 0.56575682382134
