"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Cephalophus dorsalis" 1 2 454 -3.12683695796077 0.00176697889147308 0.0947136563876652
"Cephalophus dorsalis" 1 3 454 -3.91710560814541 8.96184950089347e-05 0.138766519823789
"Cephalophus dorsalis" 1 4 452 -4.20168122821676 2.64940027210642e-05 0.152654867256637
"Cephalophus dorsalis" 1 5 450 -4.62723732844578 3.70575779164802e-06 0.171111111111111
"Cephalophus dorsalis" 1 6 449 -4.48188761239545 7.39857059198324e-06 0.184855233853007
"Cephalophus dorsalis" 1 7 447 -4.14755241641669 3.3604854872231e-05 0.212527964205817
"Cephalophus dorsalis" 1 8 447 -4.25178430806567 2.12074061935101e-05 0.225950782997763
"Cephalophus dorsalis" 1 9 447 -4.32458612164931 1.52818495651402e-05 0.232662192393736
"Cephalophus dorsalis" 1 10 445 -4.47071021799076 7.7960271720963e-06 0.235955056179775
"Cephalophus dorsalis" 1 11 440 -4.69596549088054 2.65350340839722e-06 0.259090909090909
"Cephalophus dorsalis" 1 12 439 -4.80883532525195 1.51812199979716e-06 0.280182232346241
"Cephalophus dorsalis" 1 13 438 -4.94913155805381 7.45453487930233e-07 0.285388127853881
"Cephalophus dorsalis" 1 14 436 -5.14996861675733 2.60530048906396e-07 0.298165137614679
"Cephalophus dorsalis" 1 15 436 -5.27340732095436 1.33913894338181e-07 0.302752293577982
"Cephalophus dorsalis" 1 16 435 -5.23087847372018 1.68706393820831e-07 0.328735632183908
"Cephalophus dorsalis" 1 17 435 -5.50773311413929 3.63483908031056e-08 0.340229885057471
"Cephalophus dorsalis" 1 18 434 -5.69175562966834 1.25739727378637e-08 0.352534562211982
"Cephalophus dorsalis" 1 19 432 -5.7552579288862 8.6509605656102e-09 0.351851851851852
"Cephalophus dorsalis" 1 20 430 -5.71297564496041 1.11017572986746e-08 0.358139534883721
"Cephalophus dorsalis" 1 21 429 -5.57907291360129 2.41803873255987e-08 0.372960372960373
"Cephalophus dorsalis" 1 22 427 -5.69171318888281 1.25770992208852e-08 0.377049180327869
"Cephalophus dorsalis" 1 23 426 -5.64361224373739 1.66518878648099e-08 0.387323943661972
"Cephalophus dorsalis" 1 24 425 -5.84628000154375 5.02687628970967e-09 0.392941176470588
"Cephalophus dorsalis" 1 25 423 -5.88865388061214 3.8935391266891e-09 0.40661938534279
"Cephalophus dorsalis" 1 26 422 -5.80989976637062 6.25102566386756e-09 0.412322274881517
"Cephalophus dorsalis" 1 27 422 -5.82804317081876 5.60810728651996e-09 0.421800947867299
"Cephalophus dorsalis" 1 28 422 -5.91659538180483 3.28673905290232e-09 0.438388625592417
"Cephalophus dorsalis" 1 29 422 -5.91977542575727 3.22381524459722e-09 0.443127962085308
"Cephalophus dorsalis" 1 30 420 -5.86012316324511 4.62523995964416e-09 0.447619047619048
"Cephalophus dorsalis" 1 31 419 -6.16914830044707 6.86588102169893e-10 0.463007159904535
"Cephalophus dorsalis" 1 32 419 -6.16741733602732 6.94143795539878e-10 0.465393794749403
"Cephalophus dorsalis" 1 33 415 -6.0674312671408 1.29972210560156e-09 0.469879518072289
"Cephalophus dorsalis" 1 34 415 -6.04770987404671 1.46919215834983e-09 0.469879518072289
"Cephalophus dorsalis" 1 35 413 -6.08657489320681 1.15351711800275e-09 0.472154963680387
"Cephalophus dorsalis" 1 36 412 -6.11917308130105 9.40621933797478e-10 0.475728155339806
"Cephalophus dorsalis" 1 37 410 -6.09681563456282 1.08202189159877e-09 0.473170731707317
"Cephalophus dorsalis" 1 38 410 -6.08906139318579 1.1357456368045e-09 0.473170731707317
"Cephalophus dorsalis" 1 39 409 -6.07448596923144 1.2438551023252e-09 0.484107579462103
"Cephalophus dorsalis" 1 40 408 -6.20521259038226 5.46230121682946e-10 0.487745098039216
"Cephalophus dorsalis" 1 41 407 -6.23035948952908 4.65366056106578e-10 0.496314496314496
"Cephalophus dorsalis" 1 42 407 -6.27339290486471 3.53263943727848e-10 0.501228501228501
"Cephalophus dorsalis" 1 43 405 -6.3797193845819 1.77412765993212e-10 0.503703703703704
"Cephalophus dorsalis" 1 44 403 -6.51486343319747 7.27558212520529e-11 0.506203473945409
"Cephalophus dorsalis" 1 45 402 -6.55252988642768 5.65703922050527e-11 0.507462686567164
"Cephalophus dorsalis" 1 46 401 -6.5604629000952 5.364099959526e-11 0.508728179551122
"Cephalophus dorsalis" 1 47 398 -6.51107465886101 7.46150447621733e-11 0.512562814070352
"Cephalophus dorsalis" 1 48 397 -6.46073521472088 1.04195498229666e-10 0.516372795969773
"Cephalophus dorsalis" 1 49 395 -6.53138043199846 6.5166235911671e-11 0.518987341772152
"Cephalophus dorsalis" 1 50 391 -6.2667542994262 3.6865113253539e-10 0.531969309462916
"Cephalophus dorsalis" 1 51 388 -6.16873371027795 6.88390455821341e-10 0.536082474226804
"Cephalophus dorsalis" 1 52 386 -6.4761754569999 9.40766468755132e-11 0.541450777202073
"Cephalophus dorsalis" 1 53 382 -6.33913371290809 2.31060644323559e-10 0.549738219895288
"Cephalophus dorsalis" 1 54 381 -6.29098366757175 3.15460528099258e-10 0.551181102362205
"Cephalophus dorsalis" 1 55 376 -6.34928417760633 2.16319111228511e-10 0.545212765957447
"Cephalophus dorsalis" 1 56 373 -6.23462138373669 4.52872058780852e-10 0.549597855227882
"Cephalophus dorsalis" 1 57 370 -6.11881237459842 9.42753268854159e-10 0.551351351351351
"Cephalophus dorsalis" 1 58 366 -6.30568216084484 2.86927314679774e-10 0.562841530054645
"Cephalophus dorsalis" 1 59 364 -6.41733189524049 1.38683361554617e-10 0.563186813186813
"Cephalophus dorsalis" 1 60 361 -6.140011871585 8.25153139208309e-10 0.573407202216066
"Cephalophus dorsalis" 1 61 356 -6.22046617144159 4.95679932954767e-10 0.578651685393258
"Cephalophus dorsalis" 1 62 351 -5.95707367086981 2.56794502173915e-09 0.581196581196581
"Cephalophus dorsalis" 1 63 349 -5.96778138040678 2.40501308685141e-09 0.581661891117478
"Cephalophus dorsalis" 1 64 341 -5.38022635277567 7.43922410836707e-08 0.583577712609971
