"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Cephalophus nigrifrons" 1 2 454 -0.00391861968255762 0.996873401857419 0.0066079295154185
"Cephalophus nigrifrons" 1 3 454 -0.00069910984428415 0.999442191094379 0.0066079295154185
"Cephalophus nigrifrons" 1 4 452 -0.0118443256300906 0.990549816405117 0.0110619469026549
"Cephalophus nigrifrons" 1 5 450 NA NA 0.0133333333333333
"Cephalophus nigrifrons" 1 6 449 NA NA 0.0133630289532294
"Cephalophus nigrifrons" 1 7 447 NA NA 0.0134228187919463
"Cephalophus nigrifrons" 1 8 447 NA NA 0.0134228187919463
"Cephalophus nigrifrons" 1 9 447 -0.00139920864965931 0.998883593385376 0.0134228187919463
"Cephalophus nigrifrons" 1 10 445 -0.00174231802429648 0.998609832051754 0.0179775280898876
"Cephalophus nigrifrons" 1 11 440 NA NA 0.0181818181818182
"Cephalophus nigrifrons" 1 12 439 NA NA 0.020501138952164
"Cephalophus nigrifrons" 1 13 438 NA NA 0.0228310502283105
"Cephalophus nigrifrons" 1 14 436 NA NA 0.0229357798165138
"Cephalophus nigrifrons" 1 15 436 NA NA 0.0229357798165138
"Cephalophus nigrifrons" 1 16 435 NA NA 0.0229885057471264
"Cephalophus nigrifrons" 1 17 435 -2.18538070050232 0.0288609447344329 0.0252873563218391
"Cephalophus nigrifrons" 1 18 434 -2.17014929255054 0.0299955380149376 0.0253456221198157
"Cephalophus nigrifrons" 1 19 432 -2.27700287517282 0.0227860539266288 0.0277777777777778
"Cephalophus nigrifrons" 1 20 430 NA NA 0.027906976744186
"Cephalophus nigrifrons" 1 21 429 NA NA 0.027972027972028
"Cephalophus nigrifrons" 1 22 427 -2.28938943744124 0.0220567352989244 0.0281030444964871
"Cephalophus nigrifrons" 1 23 426 -2.28499670800319 0.0223130207908863 0.028169014084507
"Cephalophus nigrifrons" 1 24 425 -2.28821535802836 0.0221249827662072 0.0282352941176471
"Cephalophus nigrifrons" 1 25 423 -2.46525322578046 0.0136916451189659 0.033096926713948
"Cephalophus nigrifrons" 1 26 422 -2.56805971243806 0.0102269537635791 0.0355450236966825
"Cephalophus nigrifrons" 1 27 422 -2.57303348363538 0.0100811454053196 0.0355450236966825
"Cephalophus nigrifrons" 1 28 422 -2.58624267937272 0.00970285886456446 0.0355450236966825
"Cephalophus nigrifrons" 1 29 422 -2.64995812388628 0.00805017481781129 0.037914691943128
"Cephalophus nigrifrons" 1 30 420 -2.5654540809734 0.0103040859050872 0.0357142857142857
"Cephalophus nigrifrons" 1 31 419 -2.59848136374105 0.00936371276509486 0.0381861575178998
"Cephalophus nigrifrons" 1 32 419 -2.59863549689624 0.00935950987432061 0.0381861575178998
"Cephalophus nigrifrons" 1 33 415 -2.60733390338273 0.00912503292030658 0.0385542168674699
"Cephalophus nigrifrons" 1 34 415 -2.70409335108222 0.00684910446292315 0.0409638554216867
"Cephalophus nigrifrons" 1 35 413 -2.71319591265423 0.00666376968550636 0.0411622276029056
"Cephalophus nigrifrons" 1 36 412 -2.73443269833889 0.00624878682724975 0.0412621359223301
"Cephalophus nigrifrons" 1 37 410 -2.73910351336858 0.00616069730689296 0.0414634146341463
"Cephalophus nigrifrons" 1 38 410 -2.73768722378684 0.00618728903923904 0.0414634146341463
"Cephalophus nigrifrons" 1 39 409 -2.76014439545946 0.00577758188577802 0.0415647921760391
"Cephalophus nigrifrons" 1 40 408 -2.74252569705615 0.00609686792558428 0.0416666666666667
"Cephalophus nigrifrons" 1 41 407 -2.73740151675682 0.00619266588006732 0.0417690417690418
"Cephalophus nigrifrons" 1 42 407 -2.73661145596203 0.00620755627635851 0.0417690417690418
"Cephalophus nigrifrons" 1 43 405 -2.74695897050079 0.00601506587798197 0.0419753086419753
"Cephalophus nigrifrons" 1 44 403 -2.65873359340366 0.00784349565968688 0.0397022332506203
"Cephalophus nigrifrons" 1 45 402 -2.58324875157145 0.00978747263398467 0.0373134328358209
"Cephalophus nigrifrons" 1 46 401 -2.67715292707132 0.00742507359633097 0.0399002493765586
"Cephalophus nigrifrons" 1 47 398 -2.66554597698897 0.00768634206297346 0.0402010050251256
"Cephalophus nigrifrons" 1 48 397 -2.66859262688753 0.00761697726167054 0.0403022670025189
"Cephalophus nigrifrons" 1 49 395 -2.5834211122031 0.00978258363318729 0.0379746835443038
"Cephalophus nigrifrons" 1 50 391 -2.59912226341519 0.00934624781112343 0.0383631713554987
"Cephalophus nigrifrons" 1 51 388 -2.56908887995609 0.0101966301281272 0.038659793814433
"Cephalophus nigrifrons" 1 52 386 -2.44956917530428 0.0143027233384518 0.0362694300518135
"Cephalophus nigrifrons" 1 53 382 -2.47458022688284 0.0133392857341355 0.0366492146596859
"Cephalophus nigrifrons" 1 54 381 -2.4671983319554 0.0136174909347855 0.036745406824147
"Cephalophus nigrifrons" 1 55 376 -2.47697774693655 0.0132500162906579 0.0372340425531915
"Cephalophus nigrifrons" 1 56 373 -2.47683858899696 0.0132551832333566 0.0375335120643432
"Cephalophus nigrifrons" 1 57 370 -2.49056651362184 0.0127539621023457 0.0378378378378378
"Cephalophus nigrifrons" 1 58 366 -2.49742790481656 0.0125097899923693 0.0382513661202186
"Cephalophus nigrifrons" 1 59 364 -2.49961732120658 0.0124327524882837 0.0384615384615385
"Cephalophus nigrifrons" 1 60 361 -2.50813231034053 0.012137121109365 0.038781163434903
"Cephalophus nigrifrons" 1 61 356 -2.48991889772799 0.0127772248236636 0.0393258426966292
"Cephalophus nigrifrons" 1 62 351 -2.4685340791072 0.0135667733190763 0.0398860398860399
"Cephalophus nigrifrons" 1 63 349 -2.46546498932015 0.0136835546947591 0.0401146131805158
"Cephalophus nigrifrons" 1 64 341 -2.37813935130568 0.0174002487850647 0.0410557184750733
"Cephalophus nigrifrons" 1 65 327 -2.13983009598242 0.0323685000522973 0.0428134556574924
"Cephalophus nigrifrons" 1 66 320 -2.03445346773568 0.0419058956673515 0.04375
"Cephalophus nigrifrons" 1 67 304 -2.0334118257826 0.0420109335772421 0.0427631578947368
"Cephalophus nigrifrons" 1 68 296 -2.01910153892473 0.0434766669528987 0.0439189189189189
"Cephalophus nigrifrons" 1 69 283 -0.0234790258453206 0.981268168823878 0.0424028268551237
"Cephalophus nigrifrons" 1 70 272 -0.0159706677234498 0.987257792476022 0.0441176470588235
"Cephalophus nigrifrons" 1 71 268 -0.00386477051946765 0.996916366947895 0.0485074626865672
"Cephalophus nigrifrons" 1 72 249 -0.0178912517955961 0.985725607954338 0.0441767068273092
"Cephalophus nigrifrons" 1 73 231 NA NA 0.038961038961039
"Cephalophus nigrifrons" 1 74 225 NA NA 0.04
"Cephalophus nigrifrons" 1 75 218 NA NA 0.0412844036697248
"Cephalophus nigrifrons" 1 76 216 NA NA 0.0416666666666667
"Cephalophus nigrifrons" 1 77 211 NA NA 0.0473933649289099
"Cephalophus nigrifrons" 1 78 209 NA NA 0.0478468899521531
"Cephalophus nigrifrons" 1 79 195 NA NA 0.0358974358974359
"Cephalophus nigrifrons" 1 80 180 NA NA 0.0333333333333333
"Cephalophus nigrifrons" 1 81 176 NA NA 0.0340909090909091
"Cephalophus nigrifrons" 1 82 170 NA NA 0.0352941176470588
