"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Cephalophus ogilbyi" 1 2 454 -2.19876339556086 0.0278947505351775 0.0374449339207048
"Cephalophus ogilbyi" 1 3 454 -2.53779178983761 0.0111554330472696 0.0484581497797357
"Cephalophus ogilbyi" 1 4 452 NA NA 0.0707964601769911
"Cephalophus ogilbyi" 1 5 450 -3.66387947364749 0.000248423717346518 0.0822222222222222
"Cephalophus ogilbyi" 1 6 449 -3.96559450029448 7.32132381849268e-05 0.0979955456570156
"Cephalophus ogilbyi" 1 7 447 -4.25470397705265 2.09325762122255e-05 0.105145413870246
"Cephalophus ogilbyi" 1 8 447 -4.48039803830859 7.45039652648847e-06 0.118568232662192
"Cephalophus ogilbyi" 1 9 447 -4.52465475493577 6.049417484086e-06 0.120805369127517
"Cephalophus ogilbyi" 1 10 445 -4.90598628593318 9.29590202251548e-07 0.130337078651685
"Cephalophus ogilbyi" 1 11 440 -4.88436883223947 1.03760687956592e-06 0.136363636363636
"Cephalophus ogilbyi" 1 12 439 -5.14769653066141 2.63704658464691e-07 0.143507972665148
"Cephalophus ogilbyi" 1 13 438 -5.42800468762675 5.69875434629715e-08 0.15296803652968
"Cephalophus ogilbyi" 1 14 436 -5.59769220038752 2.17223971967038e-08 0.153669724770642
"Cephalophus ogilbyi" 1 15 436 -5.89367785401666 3.77693164595444e-09 0.160550458715596
"Cephalophus ogilbyi" 1 16 435 -5.94413984342819 2.77912274820562e-09 0.167816091954023
"Cephalophus ogilbyi" 1 17 435 -5.98864839812629 2.11592025789072e-09 0.174712643678161
"Cephalophus ogilbyi" 1 18 434 -6.01611748149906 1.78649939943766e-09 0.175115207373272
"Cephalophus ogilbyi" 1 19 432 -6.26573688507504 3.71066432969085e-10 0.175925925925926
"Cephalophus ogilbyi" 1 20 430 -6.48909201214524 8.63552181500125e-11 0.17906976744186
"Cephalophus ogilbyi" 1 21 429 -6.55175795669277 5.68636564521698e-11 0.181818181818182
"Cephalophus ogilbyi" 1 22 427 -6.99864007639146 2.58458875584493e-12 0.187353629976581
"Cephalophus ogilbyi" 1 23 426 -7.08980844718537 1.34297756969524e-12 0.192488262910798
"Cephalophus ogilbyi" 1 24 425 -7.02880769772311 2.08305831682053e-12 0.192941176470588
"Cephalophus ogilbyi" 1 25 423 -7.02537714349951 2.13488791462925e-12 0.200945626477541
"Cephalophus ogilbyi" 1 26 422 -7.13485869645346 9.68866388167643e-13 0.199052132701422
"Cephalophus ogilbyi" 1 27 422 -7.33320835598395 2.24707168993738e-13 0.203791469194313
"Cephalophus ogilbyi" 1 28 422 -7.25771508581331 3.93683683472118e-13 0.203791469194313
"Cephalophus ogilbyi" 1 29 422 -7.3422353406853 2.10055612146675e-13 0.203791469194313
"Cephalophus ogilbyi" 1 30 420 -7.56937155672832 3.7503406262325e-14 0.204761904761905
"Cephalophus ogilbyi" 1 31 419 -7.65531274724274 1.92842351557366e-14 0.20763723150358
"Cephalophus ogilbyi" 1 32 419 -7.78019457147455 7.24130896147417e-15 0.212410501193317
"Cephalophus ogilbyi" 1 33 415 -7.60785371511022 2.78685005575879e-14 0.214457831325301
"Cephalophus ogilbyi" 1 34 415 -7.68505620932098 1.52929834243069e-14 0.214457831325301
"Cephalophus ogilbyi" 1 35 413 -7.99761421573905 1.26853087885108e-15 0.215496368038741
"Cephalophus ogilbyi" 1 36 412 -8.10053414554991 5.47184025252336e-16 0.218446601941748
"Cephalophus ogilbyi" 1 37 410 -8.27820834226424 1.25042317699967e-16 0.214634146341463
"Cephalophus ogilbyi" 1 38 410 -8.35574327741235 6.50219815931617e-17 0.217073170731707
"Cephalophus ogilbyi" 1 39 409 -8.29964352804141 1.04424243796964e-16 0.21760391198044
"Cephalophus ogilbyi" 1 40 408 -8.54836251338503 1.24847063607045e-17 0.223039215686275
"Cephalophus ogilbyi" 1 41 407 -8.66755841305845 4.41485162043464e-18 0.226044226044226
"Cephalophus ogilbyi" 1 42 407 -8.71924085652923 2.80073219165399e-18 0.226044226044226
"Cephalophus ogilbyi" 1 43 405 -8.57694636984429 9.7425015895883e-18 0.222222222222222
"Cephalophus ogilbyi" 1 44 403 -8.62436412587767 6.44497494683808e-18 0.225806451612903
"Cephalophus ogilbyi" 1 45 402 -8.74353575710581 2.25926335521647e-18 0.23134328358209
"Cephalophus ogilbyi" 1 46 401 -8.85622622564764 8.27688209121241e-19 0.234413965087282
"Cephalophus ogilbyi" 1 47 398 -8.74687727045595 2.19338033454404e-18 0.238693467336683
"Cephalophus ogilbyi" 1 48 397 -8.95763217370463 3.31724960578586e-19 0.236775818639798
"Cephalophus ogilbyi" 1 49 395 -9.03833165562231 1.59081083023322e-19 0.237974683544304
"Cephalophus ogilbyi" 1 50 391 -9.02400705880999 1.81332309769818e-19 0.240409207161125
"Cephalophus ogilbyi" 1 51 388 -9.08249409629675 1.06114845780699e-19 0.242268041237113
"Cephalophus ogilbyi" 1 52 386 -9.02585688403841 1.7829447683582e-19 0.240932642487047
"Cephalophus ogilbyi" 1 53 382 -9.0816378117124 1.06953152958103e-19 0.243455497382199
"Cephalophus ogilbyi" 1 54 381 -9.16628484303507 4.896020118478e-20 0.246719160104987
"Cephalophus ogilbyi" 1 55 376 -9.2793795738651 1.70468275172882e-20 0.247340425531915
