"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Cephalophus silvicultor" 1 2 454 -1.20386801445791 0.22864059623798 0.0220264317180617
"Cephalophus silvicultor" 1 3 454 -2.33835949706373 0.019368606977104 0.0418502202643172
"Cephalophus silvicultor" 1 4 452 -2.7907988385701 0.00525781385154192 0.0597345132743363
"Cephalophus silvicultor" 1 5 450 -3.51590423263155 0.000438259036558275 0.0755555555555556
"Cephalophus silvicultor" 1 6 449 -3.65222424055705 0.000259978709704964 0.0779510022271715
"Cephalophus silvicultor" 1 7 447 -3.54625166139509 0.000390752846715048 0.0961968680089485
"Cephalophus silvicultor" 1 8 447 -4.06012912797547 4.90455841517023e-05 0.109619686800895
"Cephalophus silvicultor" 1 9 447 -4.40347343107732 1.06531335961019e-05 0.125279642058166
"Cephalophus silvicultor" 1 10 445 -4.4965075199841 6.90787374832627e-06 0.134831460674157
"Cephalophus silvicultor" 1 11 440 -4.5993594391519 4.23792022901825e-06 0.138636363636364
"Cephalophus silvicultor" 1 12 439 -4.6124516034052 3.97947219744709e-06 0.150341685649203
"Cephalophus silvicultor" 1 13 438 -4.70182635127957 2.57844741939705e-06 0.159817351598174
"Cephalophus silvicultor" 1 14 436 -4.97209006842384 6.62349184728665e-07 0.181192660550459
"Cephalophus silvicultor" 1 15 436 -5.12219266209859 3.02003082466492e-07 0.190366972477064
"Cephalophus silvicultor" 1 16 435 -5.06341566493464 4.11810602444528e-07 0.213793103448276
"Cephalophus silvicultor" 1 17 435 -5.40506935322331 6.47833214366282e-08 0.222988505747126
"Cephalophus silvicultor" 1 18 434 -5.36514520048216 8.08841252606389e-08 0.230414746543779
"Cephalophus silvicultor" 1 19 432 -4.78222553062755 1.7336501247267e-06 0.25
"Cephalophus silvicultor" 1 20 430 -4.72107133270335 2.34605636576134e-06 0.258139534883721
"Cephalophus silvicultor" 1 21 429 -4.82884631338064 1.37326340775964e-06 0.261072261072261
"Cephalophus silvicultor" 1 22 427 -4.80580273704983 1.54131814224798e-06 0.26463700234192
"Cephalophus silvicultor" 1 23 426 -4.75643892135669 1.97037817665205e-06 0.267605633802817
"Cephalophus silvicultor" 1 24 425 -4.87270716345028 1.10079328600068e-06 0.270588235294118
"Cephalophus silvicultor" 1 25 423 -5.08342153150937 3.7069576133211e-07 0.283687943262411
"Cephalophus silvicultor" 1 26 422 -5.02455483253434 5.04601620482017e-07 0.291469194312796
"Cephalophus silvicultor" 1 27 422 -5.06355636106321 4.11506648445182e-07 0.291469194312796
"Cephalophus silvicultor" 1 28 422 -5.16379956156382 2.41986816448586e-07 0.293838862559242
"Cephalophus silvicultor" 1 29 422 -5.28427887730255 1.26200879481059e-07 0.296208530805687
"Cephalophus silvicultor" 1 30 420 -5.36263317333043 8.2017458386423e-08 0.295238095238095
"Cephalophus silvicultor" 1 31 419 -5.49460657917389 3.91582382580953e-08 0.300715990453461
"Cephalophus silvicultor" 1 32 419 -5.59693985029325 2.18168356508443e-08 0.300715990453461
"Cephalophus silvicultor" 1 33 415 -5.60993549790127 2.02402039673974e-08 0.303614457831325
"Cephalophus silvicultor" 1 34 415 -5.61280753889212 1.9906997364231e-08 0.303614457831325
"Cephalophus silvicultor" 1 35 413 -5.72893151757727 1.01065181585697e-08 0.305084745762712
"Cephalophus silvicultor" 1 36 412 -5.90116043750661 3.6095368425313e-09 0.317961165048544
"Cephalophus silvicultor" 1 37 410 -6.001503506739 1.95498719643144e-09 0.321951219512195
"Cephalophus silvicultor" 1 38 410 -6.04374898499814 1.50573714685211e-09 0.321951219512195
"Cephalophus silvicultor" 1 39 409 -6.22908017314762 4.69181657656344e-10 0.327628361858191
"Cephalophus silvicultor" 1 40 408 -6.36608178892513 1.93918054822753e-10 0.333333333333333
"Cephalophus silvicultor" 1 41 407 -6.60224574779053 4.04975450272045e-11 0.339066339066339
"Cephalophus silvicultor" 1 42 407 -6.75490260783339 1.42931234513063e-11 0.343980343980344
"Cephalophus silvicultor" 1 43 405 -6.78851232904545 1.13295699681427e-11 0.350617283950617
"Cephalophus silvicultor" 1 44 403 -7.00723619641022 2.4307173323505e-12 0.359801488833747
"Cephalophus silvicultor" 1 45 402 -7.07207211346817 1.52637057590952e-12 0.360696517412935
"Cephalophus silvicultor" 1 46 401 -7.06011820040942 1.66361032169573e-12 0.366583541147132
"Cephalophus silvicultor" 1 47 398 -6.87949506600368 6.00650782362229e-12 0.376884422110553
"Cephalophus silvicultor" 1 48 397 -7.00134047216309 2.53524995672978e-12 0.377833753148615
"Cephalophus silvicultor" 1 49 395 -6.96112354867535 3.37569557526638e-12 0.382278481012658
"Cephalophus silvicultor" 1 50 391 -7.12107815900565 1.07086040508354e-12 0.383631713554987
"Cephalophus silvicultor" 1 51 388 -7.08107578851818 1.43039642236955e-12 0.38659793814433
"Cephalophus silvicultor" 1 52 386 -6.9026602767319 5.10375858080981e-12 0.393782383419689
"Cephalophus silvicultor" 1 53 382 -6.95320645889051 3.57075510662695e-12 0.400523560209424
"Cephalophus silvicultor" 1 54 381 -7.08693162355168 1.37118085993041e-12 0.406824146981627
"Cephalophus silvicultor" 1 55 376 -7.08990563996857 1.34203473610809e-12 0.409574468085106
"Cephalophus silvicultor" 1 56 373 -7.00420949496792 2.48384220414526e-12 0.412868632707775
"Cephalophus silvicultor" 1 57 370 -6.96768965939691 3.22187957186206e-12 0.410810810810811
"Cephalophus silvicultor" 1 58 366 -7.13860008450639 9.42862076186989e-13 0.418032786885246
"Cephalophus silvicultor" 1 59 364 -6.96991118525504 3.17141133506092e-12 0.417582417582418
"Cephalophus silvicultor" 1 60 361 -7.07953274960215 1.44641315812405e-12 0.415512465373961
"Cephalophus silvicultor" 1 61 356 -7.06560237096532 1.59920738861693e-12 0.418539325842697
"Cephalophus silvicultor" 1 62 351 -6.96229210189868 3.34780438260022e-12 0.421652421652422
"Cephalophus silvicultor" 1 63 349 -6.91828641634825 4.57139345206485e-12 0.426934097421203
"Cephalophus silvicultor" 1 64 341 -6.7596295998706 1.38344961910758e-11 0.434017595307918
"Cephalophus silvicultor" 1 65 327 -6.37223307045589 1.86295480729233e-10 0.443425076452599
"Cephalophus silvicultor" 1 66 320 -6.18978836457401 6.02450459445e-10 0.44375
"Cephalophus silvicultor" 1 67 304 -4.74894556711933 2.04479964504793e-06 0.453947368421053
"Cephalophus silvicultor" 1 68 296 -4.73370563797192 2.20457387099936e-06 0.462837837837838
"Cephalophus silvicultor" 1 69 283 -5.92800409750285 3.0663884863855e-09 0.469964664310954
"Cephalophus silvicultor" 1 70 272 -6.17540544912011 6.59938913954174e-10 0.470588235294118
"Cephalophus silvicultor" 1 71 268 -5.98504428281945 2.16330996821004e-09 0.473880597014925
"Cephalophus silvicultor" 1 72 249 -5.96300987933622 2.47633443732711e-09 0.457831325301205
"Cephalophus silvicultor" 1 73 231 NA NA 0.432900432900433
"Cephalophus silvicultor" 1 74 225 NA NA 0.431111111111111
"Cephalophus silvicultor" 1 75 218 NA NA 0.426605504587156
"Cephalophus silvicultor" 1 76 216 NA NA 0.430555555555556
"Cephalophus silvicultor" 1 77 211 NA NA 0.436018957345972
"Cephalophus silvicultor" 1 78 209 NA NA 0.449760765550239
"Cephalophus silvicultor" 1 79 195 NA NA 0.441025641025641
"Cephalophus silvicultor" 1 80 180 NA NA 0.444444444444444
"Cephalophus silvicultor" 1 81 176 NA NA 0.454545454545455
"Cephalophus silvicultor" 1 82 170 NA NA 0.447058823529412
"Cephalophus silvicultor" 1 83 166 NA NA 0.44578313253012
"Cephalophus silvicultor" 1 84 166 NA NA 0.451807228915663
"Cephalophus silvicultor" 1 85 166 NA NA 0.457831325301205
"Cephalophus silvicultor" 1 86 165 NA NA 0.454545454545455
"Cephalophus silvicultor" 1 87 163 NA NA 0.447852760736196
"Cephalophus silvicultor" 1 88 158 NA NA 0.430379746835443
"Cephalophus silvicultor" 1 89 153 NA NA 0.411764705882353
"Cephalophus silvicultor" 1 90 151 NA NA 0.403973509933775
"Cephalophus silvicultor" 1 91 150 NA NA 0.4
"Cephalophus silvicultor" 1 92 146 NA NA 0.397260273972603
"Cephalophus silvicultor" 1 93 142 NA NA 0.380281690140845
"Cephalophus silvicultor" 1 94 142 NA NA 0.380281690140845
"Cephalophus silvicultor" 1 95 127 NA NA 0.37007874015748
"Cephalophus silvicultor" 1 96 105 NA NA 0.361904761904762
"Cephalophus silvicultor" 1 97 89 NA NA 0.359550561797753
"Cephalophus silvicultor" 1 98 75 NA NA 0.373333333333333
"Cephalophus silvicultor" 1 99 75 NA NA 0.373333333333333
"Cephalophus silvicultor" 1 100 75 NA NA 0.386666666666667
"Cephalophus silvicultor" 1 101 75 NA NA 0.4
"Cephalophus silvicultor" 1 102 75 NA NA 0.4
"Cephalophus silvicultor" 1 103 75 NA NA 0.4
"Cephalophus silvicultor" 1 104 75 NA NA 0.4
"Cephalophus silvicultor" 1 105 73 NA NA 0.397260273972603
"Cephalophus silvicultor" 1 106 61 NA NA 0.409836065573771
"Cephalophus silvicultor" 1 107 56 NA NA 0.392857142857143
"Cephalophus silvicultor" 1 108 49 NA NA 0.428571428571429
"Cephalophus silvicultor" 1 109 48 NA NA 0.4375
"Cephalophus silvicultor" 1 110 47 NA NA 0.446808510638298
"Cephalophus silvicultor" 1 111 45 NA NA 0.444444444444444
"Cephalophus silvicultor" 1 112 45 NA NA 0.444444444444444
"Cephalophus silvicultor" 1 113 45 NA NA 0.444444444444444
"Cephalophus silvicultor" 1 114 45 NA NA 0.444444444444444
"Cephalophus silvicultor" 1 115 44 NA NA 0.454545454545455
"Cephalophus silvicultor" 1 116 44 NA NA 0.454545454545455
"Cephalophus silvicultor" 1 117 43 NA NA 0.465116279069767
"Cephalophus silvicultor" 1 118 43 NA NA 0.465116279069767
"Cephalophus silvicultor" 1 119 43 NA NA 0.465116279069767
"Cephalophus silvicultor" 1 120 43 NA NA 0.465116279069767
"Cephalophus silvicultor" 1 121 43 NA NA 0.488372093023256
"Cephalophus silvicultor" 1 122 43 NA NA 0.488372093023256
"Cephalophus silvicultor" 1 123 43 NA NA 0.488372093023256
"Cephalophus silvicultor" 1 124 43 NA NA 0.511627906976744
"Cephalophus silvicultor" 1 125 43 NA NA 0.511627906976744
"Cephalophus silvicultor" 1 126 43 NA NA 0.511627906976744
"Cephalophus silvicultor" 1 127 43 NA NA 0.511627906976744
"Cephalophus silvicultor" 1 128 42 NA NA 0.5
"Cephalophus silvicultor" 1 129 42 NA NA 0.5
"Cephalophus silvicultor" 1 130 41 NA NA 0.48780487804878
"Cephalophus silvicultor" 1 131 41 NA NA 0.48780487804878
"Cephalophus silvicultor" 1 132 41 NA NA 0.48780487804878
"Cephalophus silvicultor" 1 133 41 NA NA 0.48780487804878
"Cephalophus silvicultor" 1 134 41 NA NA 0.48780487804878
"Cephalophus silvicultor" 1 135 41 NA NA 0.48780487804878
"Cephalophus silvicultor" 1 136 41 NA NA 0.48780487804878
"Cephalophus silvicultor" 1 137 41 NA NA 0.48780487804878
"Cephalophus silvicultor" 1 138 41 NA NA 0.48780487804878
"Cephalophus silvicultor" 1 139 40 NA NA 0.5
"Cephalophus silvicultor" 1 140 40 NA NA 0.5
"Cephalophus silvicultor" 1 141 40 NA NA 0.5
"Cephalophus silvicultor" 1 142 40 NA NA 0.5
"Cephalophus silvicultor" 1 143 40 NA NA 0.5
"Cephalophus silvicultor" 1 144 40 NA NA 0.5
"Cephalophus silvicultor" 1 145 40 NA NA 0.5
"Cephalophus silvicultor" 1 146 40 NA NA 0.5
"Cephalophus silvicultor" 1 147 40 NA NA 0.525
"Cephalophus silvicultor" 1 148 40 NA NA 0.525
"Cephalophus silvicultor" 1 149 40 NA NA 0.525
"Cephalophus silvicultor" 1 150 40 NA NA 0.525
"Cephalophus silvicultor" 1 151 40 NA NA 0.525
"Cephalophus silvicultor" 1 152 40 NA NA 0.525
"Cephalophus silvicultor" 1 153 40 NA NA 0.525
"Cephalophus silvicultor" 1 154 39 NA NA 0.538461538461538
"Cephalophus silvicultor" 1 155 39 NA NA 0.538461538461538
"Cephalophus silvicultor" 1 156 39 NA NA 0.538461538461538
"Cephalophus silvicultor" 1 157 39 NA NA 0.538461538461538
"Cephalophus silvicultor" 1 158 39 NA NA 0.538461538461538
"Cephalophus silvicultor" 1 159 39 NA NA 0.538461538461538
"Cephalophus silvicultor" 1 160 39 NA NA 0.538461538461538
"Cephalophus silvicultor" 1 161 39 NA NA 0.564102564102564
"Cephalophus silvicultor" 1 162 39 NA NA 0.564102564102564
"Cephalophus silvicultor" 1 163 39 NA NA 0.564102564102564
"Cephalophus silvicultor" 1 164 39 NA NA 0.564102564102564
"Cephalophus silvicultor" 1 165 39 NA NA 0.564102564102564
"Cephalophus silvicultor" 1 166 39 NA NA 0.564102564102564
"Cephalophus silvicultor" 1 167 39 NA NA 0.564102564102564
"Cephalophus silvicultor" 1 168 39 NA NA 0.564102564102564
"Cephalophus silvicultor" 1 169 39 NA NA 0.564102564102564
"Cephalophus silvicultor" 1 170 39 NA NA 0.564102564102564
"Cephalophus silvicultor" 1 171 39 NA NA 0.564102564102564
"Cephalophus silvicultor" 1 172 39 NA NA 0.564102564102564
"Cephalophus silvicultor" 1 173 38 NA NA 0.578947368421053
"Cephalophus silvicultor" 1 174 38 NA NA 0.578947368421053
"Cephalophus silvicultor" 1 175 37 NA NA 0.567567567567568
"Cephalophus silvicultor" 1 176 37 NA NA 0.567567567567568
"Cephalophus silvicultor" 1 177 37 NA NA 0.567567567567568
