"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Cercocebus agilis" 1 2 454 -0.0118555394067849 0.990540869733996 0.00220264317180617
"Cercocebus agilis" 1 3 454 -0.00262052878216863 0.997909122936637 0.00440528634361234
"Cercocebus agilis" 1 4 452 -0.000755738344835907 0.999397008100048 0.00442477876106195
"Cercocebus agilis" 1 5 450 NA NA 0.00444444444444444
"Cercocebus agilis" 1 6 449 NA NA 0.0044543429844098
"Cercocebus agilis" 1 7 447 NA NA 0.00447427293064877
"Cercocebus agilis" 1 8 447 NA NA 0.00671140939597315
"Cercocebus agilis" 1 9 447 NA NA 0.0111856823266219
"Cercocebus agilis" 1 10 445 NA NA 0.0157303370786517
"Cercocebus agilis" 1 11 440 NA NA 0.0159090909090909
"Cercocebus agilis" 1 12 439 NA NA 0.0182232346241458
"Cercocebus agilis" 1 13 438 -1.66859196834667 0.0951982716875405 0.0251141552511416
"Cercocebus agilis" 1 14 436 -1.6648705140753 0.0959385920110678 0.0252293577981651
"Cercocebus agilis" 1 15 436 -1.81387787305108 0.069696530007389 0.0275229357798165
"Cercocebus agilis" 1 16 435 -1.8108942329131 0.0701572254820518 0.0275862068965517
"Cercocebus agilis" 1 17 435 -1.80814841485541 0.0705834047088452 0.0275862068965517
"Cercocebus agilis" 1 18 434 -1.80562676390499 0.0709766592037979 0.0276497695852535
"Cercocebus agilis" 1 19 432 -1.95054021740789 0.0511117647532612 0.0300925925925926
"Cercocebus agilis" 1 20 430 -1.96914632753915 0.048936290195911 0.0302325581395349
"Cercocebus agilis" 1 21 429 -2.17818303946346 0.0293924122600589 0.034965034965035
"Cercocebus agilis" 1 22 427 -2.12269061971238 0.0337797855705727 0.0421545667447307
"Cercocebus agilis" 1 23 426 -2.1151985942367 0.0344130247172627 0.0422535211267606
"Cercocebus agilis" 1 24 425 -2.2503005455644 0.0244298733364503 0.0447058823529412
"Cercocebus agilis" 1 25 423 -2.2480269779642 0.0245744697077565 0.0449172576832151
"Cercocebus agilis" 1 26 422 -2.14177432016074 0.0322116468326913 0.0497630331753555
"Cercocebus agilis" 1 27 422 -2.20689571827722 0.0273213456383147 0.0568720379146919
"Cercocebus agilis" 1 28 422 -2.20251016759568 0.0276292917137483 0.0568720379146919
"Cercocebus agilis" 1 29 422 -2.24465974124811 0.0247899843894312 0.0592417061611374
"Cercocebus agilis" 1 30 420 -2.24194919873289 0.0249646557891999 0.0595238095238095
"Cercocebus agilis" 1 31 419 -2.36594367183578 0.0179841804004499 0.0620525059665871
"Cercocebus agilis" 1 32 419 NA NA 0.0644391408114559
"Cercocebus agilis" 1 33 415 -2.50024499056392 0.0124107447447941 0.0650602409638554
"Cercocebus agilis" 1 34 415 -2.56892676564492 0.0102014013850097 0.0650602409638554
"Cercocebus agilis" 1 35 413 -2.63924891967778 0.00830899466607602 0.0677966101694915
"Cercocebus agilis" 1 36 412 -2.63573114178259 0.00839562237049904 0.0679611650485437
"Cercocebus agilis" 1 37 410 -2.64196571798156 0.00824263984961409 0.0682926829268293
"Cercocebus agilis" 1 38 410 -2.65179512881805 0.00800651064941275 0.0682926829268293
"Cercocebus agilis" 1 39 409 -2.48088951408859 0.0131054988114738 0.0709046454767726
"Cercocebus agilis" 1 40 408 -2.28191315912404 0.022494467781126 0.0735294117647059
"Cercocebus agilis" 1 41 407 -1.9364692064584 0.052810260484757 0.0761670761670762
"Cercocebus agilis" 1 42 407 -1.93033972597143 0.0535647578564349 0.0761670761670762
"Cercocebus agilis" 1 43 405 -1.92982096374882 0.053629025046783 0.0765432098765432
"Cercocebus agilis" 1 44 403 -1.98301454556482 0.0473658048186011 0.0769230769230769
"Cercocebus agilis" 1 45 402 -1.98300879722634 0.0473664468948956 0.0771144278606965
"Cercocebus agilis" 1 46 401 -1.97635873421191 0.0481141617754684 0.0773067331670823
"Cercocebus agilis" 1 47 398 NA NA 0.0728643216080402
"Cercocebus agilis" 1 48 397 -2.24434436486453 0.0248102531482271 0.0730478589420655
"Cercocebus agilis" 1 49 395 -2.35497812779384 0.0185237959811031 0.0759493670886076
"Cercocebus agilis" 1 50 391 NA NA 0.0741687979539642
"Cercocebus agilis" 1 51 388 NA NA 0.0747422680412371
"Cercocebus agilis" 1 52 386 -2.21451043595757 0.0267936856146755 0.0751295336787565
"Cercocebus agilis" 1 53 382 -2.12931417306853 0.0332282759667475 0.0785340314136126
"Cercocebus agilis" 1 54 381 -2.13795778121531 0.03252016993231 0.078740157480315
"Cercocebus agilis" 1 55 376 -2.13885569650308 0.0324473570563976 0.0797872340425532
"Cercocebus agilis" 1 56 373 -2.14921741131258 0.0316171697131334 0.0804289544235925
"Cercocebus agilis" 1 57 370 -2.0160367700356 0.0437961309699638 0.0837837837837838
"Cercocebus agilis" 1 58 366 -2.01756890232036 0.0436361783251199 0.0846994535519126
"Cercocebus agilis" 1 59 364 -2.01802799713064 0.0435883455952947 0.0851648351648352
"Cercocebus agilis" 1 60 361 NA NA 0.0886426592797784
"Cercocebus agilis" 1 61 356 NA NA 0.0926966292134832
"Cercocebus agilis" 1 62 351 -2.29223828721754 0.0218918967320432 0.0883190883190883
"Cercocebus agilis" 1 63 349 -2.28614502444576 0.0222457757030227 0.0888252148997135
"Cercocebus agilis" 1 64 341 -2.36947962847624 0.0178131363755123 0.0879765395894428
"Cercocebus agilis" 1 65 327 NA NA 0.0917431192660551
"Cercocebus agilis" 1 66 320 -1.82846532413478 0.0674797452556355 0.1
"Cercocebus agilis" 1 67 304 -2.03636945428732 0.041713270307881 0.0986842105263158
"Cercocebus agilis" 1 68 296 -2.28359380448893 0.0223954142365734 0.097972972972973
"Cercocebus agilis" 1 69 283 -2.54029604079357 0.0110758673534425 0.0989399293286219
"Cercocebus agilis" 1 70 272 -2.53933270635113 0.0111064147962137 0.102941176470588
"Cercocebus agilis" 1 71 268 -2.52760303275686 0.0114844121144891 0.104477611940299
"Cercocebus agilis" 1 72 249 NA NA 0.104417670682731
"Cercocebus agilis" 1 73 231 NA NA 0.0909090909090909
"Cercocebus agilis" 1 74 225 NA NA 0.0977777777777778
"Cercocebus agilis" 1 75 218 NA NA 0.100917431192661
"Cercocebus agilis" 1 76 216 NA NA 0.101851851851852
"Cercocebus agilis" 1 77 211 NA NA 0.104265402843602
"Cercocebus agilis" 1 78 209 NA NA 0.105263157894737
"Cercocebus agilis" 1 79 195 NA NA 0.112820512820513
"Cercocebus agilis" 1 80 180 NA NA 0.122222222222222
"Cercocebus agilis" 1 81 176 NA NA 0.125
"Cercocebus agilis" 1 82 170 NA NA 0.135294117647059
"Cercocebus agilis" 1 83 166 NA NA 0.132530120481928
"Cercocebus agilis" 1 84 166 NA NA 0.132530120481928
"Cercocebus agilis" 1 85 166 NA NA 0.132530120481928
"Cercocebus agilis" 1 86 165 NA NA 0.133333333333333
"Cercocebus agilis" 1 87 163 NA NA 0.134969325153374
"Cercocebus agilis" 1 88 158 NA NA 0.132911392405063
"Cercocebus agilis" 1 89 153 NA NA 0.137254901960784
"Cercocebus agilis" 1 90 151 NA NA 0.139072847682119
"Cercocebus agilis" 1 91 150 NA NA 0.14
"Cercocebus agilis" 1 92 146 NA NA 0.136986301369863
"Cercocebus agilis" 1 93 142 NA NA 0.140845070422535
"Cercocebus agilis" 1 94 142 NA NA 0.140845070422535
"Cercocebus agilis" 1 95 127 NA NA 0.149606299212598
"Cercocebus agilis" 1 96 105 NA NA 0.171428571428571
"Cercocebus agilis" 1 97 89 NA NA 0.202247191011236
"Cercocebus agilis" 1 98 75 NA NA 0.24
"Cercocebus agilis" 1 99 75 NA NA 0.24
"Cercocebus agilis" 1 100 75 NA NA 0.24
"Cercocebus agilis" 1 101 75 NA NA 0.24
"Cercocebus agilis" 1 102 75 NA NA 0.24
"Cercocebus agilis" 1 103 75 NA NA 0.24
"Cercocebus agilis" 1 104 75 NA NA 0.24
"Cercocebus agilis" 1 105 73 NA NA 0.246575342465753
"Cercocebus agilis" 1 106 61 NA NA 0.295081967213115
"Cercocebus agilis" 1 107 56 NA NA 0.321428571428571
"Cercocebus agilis" 1 108 49 NA NA 0.387755102040816
"Cercocebus agilis" 1 109 48 NA NA 0.395833333333333
"Cercocebus agilis" 1 110 47 NA NA 0.404255319148936
"Cercocebus agilis" 1 111 45 NA NA 0.4
"Cercocebus agilis" 1 112 45 NA NA 0.4
"Cercocebus agilis" 1 113 45 NA NA 0.4
"Cercocebus agilis" 1 114 45 NA NA 0.4
"Cercocebus agilis" 1 115 44 NA NA 0.386363636363636
"Cercocebus agilis" 1 116 44 NA NA 0.386363636363636
"Cercocebus agilis" 1 117 43 NA NA 0.372093023255814
"Cercocebus agilis" 1 118 43 NA NA 0.372093023255814
"Cercocebus agilis" 1 119 43 NA NA 0.372093023255814
"Cercocebus agilis" 1 120 43 NA NA 0.372093023255814
"Cercocebus agilis" 1 121 43 NA NA 0.372093023255814
"Cercocebus agilis" 1 122 43 NA NA 0.372093023255814
"Cercocebus agilis" 1 123 43 NA NA 0.372093023255814
"Cercocebus agilis" 1 124 43 NA NA 0.372093023255814
"Cercocebus agilis" 1 125 43 NA NA 0.372093023255814
"Cercocebus agilis" 1 126 43 NA NA 0.372093023255814
"Cercocebus agilis" 1 127 43 NA NA 0.372093023255814
"Cercocebus agilis" 1 128 42 NA NA 0.357142857142857
"Cercocebus agilis" 1 129 42 NA NA 0.357142857142857
"Cercocebus agilis" 1 130 41 NA NA 0.365853658536585
"Cercocebus agilis" 1 131 41 NA NA 0.365853658536585
"Cercocebus agilis" 1 132 41 NA NA 0.365853658536585
"Cercocebus agilis" 1 133 41 NA NA 0.365853658536585
"Cercocebus agilis" 1 134 41 NA NA 0.365853658536585
"Cercocebus agilis" 1 135 41 NA NA 0.365853658536585
"Cercocebus agilis" 1 136 41 NA NA 0.365853658536585
"Cercocebus agilis" 1 137 41 NA NA 0.365853658536585
"Cercocebus agilis" 1 138 41 NA NA 0.365853658536585
"Cercocebus agilis" 1 139 40 NA NA 0.375
"Cercocebus agilis" 1 140 40 NA NA 0.375
"Cercocebus agilis" 1 141 40 NA NA 0.375
"Cercocebus agilis" 1 142 40 NA NA 0.375
"Cercocebus agilis" 1 143 40 NA NA 0.375
"Cercocebus agilis" 1 144 40 NA NA 0.375
"Cercocebus agilis" 1 145 40 NA NA 0.375
"Cercocebus agilis" 1 146 40 NA NA 0.375
