"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Cercocebus torquatus" 1 2 454 -0.0144087925074747 0.988503844712309 0.0066079295154185
"Cercocebus torquatus" 1 3 454 -0.0113669656443502 0.9909306689145 0.00881057268722467
"Cercocebus torquatus" 1 4 452 -0.0114072453501591 0.990898532442697 0.0132743362831858
"Cercocebus torquatus" 1 5 450 -0.0128347689778163 0.989759617143822 0.0133333333333333
"Cercocebus torquatus" 1 6 449 NA NA 0.0155902004454343
"Cercocebus torquatus" 1 7 447 -1.75197118167592 0.0797787633955538 0.0178970917225951
"Cercocebus torquatus" 1 8 447 -1.64569340725664 0.0998268970436952 0.0223713646532438
"Cercocebus torquatus" 1 9 447 NA NA 0.0246085011185682
"Cercocebus torquatus" 1 10 445 -1.88510000814383 0.0594163369549558 0.0247191011235955
"Cercocebus torquatus" 1 11 440 -1.75448029670282 0.0793482431563085 0.0227272727272727
"Cercocebus torquatus" 1 12 439 -1.44403910801253 0.148727974850912 0.0250569476082005
"Cercocebus torquatus" 1 13 438 -1.52065855680012 0.12834554386059 0.0251141552511416
"Cercocebus torquatus" 1 14 436 -1.47212775265331 0.140986382429832 0.0252293577981651
"Cercocebus torquatus" 1 15 436 NA NA 0.0252293577981651
"Cercocebus torquatus" 1 16 435 NA NA 0.0275862068965517
"Cercocebus torquatus" 1 17 435 NA NA 0.0275862068965517
"Cercocebus torquatus" 1 18 434 -1.24362470039913 0.213637721033169 0.032258064516129
"Cercocebus torquatus" 1 19 432 -1.24117423884333 0.21454138921563 0.037037037037037
"Cercocebus torquatus" 1 20 430 -1.23948966213577 0.215164214873312 0.0372093023255814
"Cercocebus torquatus" 1 21 429 -1.23796213751505 0.215730100271549 0.0372960372960373
"Cercocebus torquatus" 1 22 427 -1.43254329628715 0.151988396450466 0.0444964871194379
"Cercocebus torquatus" 1 23 426 -1.77241078518358 0.0763263927784704 0.0446009389671361
"Cercocebus torquatus" 1 24 425 -1.77078010606294 0.0765972753789037 0.0447058823529412
"Cercocebus torquatus" 1 25 423 -1.76930866819543 0.0768423776646966 0.0449172576832151
"Cercocebus torquatus" 1 26 422 -1.76787418820047 0.0770819388127011 0.0450236966824645
"Cercocebus torquatus" 1 27 422 -1.7666251267961 0.0772910300672179 0.0450236966824645
"Cercocebus torquatus" 1 28 422 -1.76543814510137 0.0774901572789041 0.0450236966824645
"Cercocebus torquatus" 1 29 422 -1.52595139875847 0.127021968747012 0.0473933649289099
"Cercocebus torquatus" 1 30 420 -1.42910647509449 0.152973632727197 0.0476190476190476
"Cercocebus torquatus" 1 31 419 -1.34662391352664 0.178101388385762 0.0477326968973747
"Cercocebus torquatus" 1 32 419 -1.65168591477576 0.0985985954941576 0.0525059665871122
"Cercocebus torquatus" 1 33 415 -1.41763085989962 0.156298565520518 0.0554216867469879
"Cercocebus torquatus" 1 34 415 -1.18777878568989 0.234920574446625 0.0578313253012048
"Cercocebus torquatus" 1 35 413 -1.26496550825242 0.205883692475474 0.0581113801452785
"Cercocebus torquatus" 1 36 412 -1.26424049730732 0.206143719361794 0.058252427184466
"Cercocebus torquatus" 1 37 410 -1.25705906659471 0.208732247956137 0.0585365853658537
