"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Cercopithecus nictitans" 1 2 454 NA NA 0
"Cercopithecus nictitans" 1 3 454 NA NA 0
"Cercopithecus nictitans" 1 4 452 NA NA 0
"Cercopithecus nictitans" 1 5 450 NA NA 0.00222222222222222
"Cercopithecus nictitans" 1 6 449 NA NA 0.0022271714922049
"Cercopithecus nictitans" 1 7 447 NA NA 0.00447427293064877
"Cercopithecus nictitans" 1 8 447 NA NA 0.00447427293064877
"Cercopithecus nictitans" 1 9 447 NA NA 0.00447427293064877
"Cercopithecus nictitans" 1 10 445 NA NA 0.00674157303370787
"Cercopithecus nictitans" 1 11 440 NA NA 0.00909090909090909
"Cercopithecus nictitans" 1 12 439 NA NA 0.00911161731207289
"Cercopithecus nictitans" 1 13 438 NA NA 0.0091324200913242
"Cercopithecus nictitans" 1 14 436 NA NA 0.00917431192660551
"Cercopithecus nictitans" 1 15 436 NA NA 0.00917431192660551
"Cercopithecus nictitans" 1 16 435 NA NA 0.00919540229885057
"Cercopithecus nictitans" 1 17 435 NA NA 0.00919540229885057
"Cercopithecus nictitans" 1 18 434 NA NA 0.00921658986175115
"Cercopithecus nictitans" 1 19 432 NA NA 0.00925925925925926
"Cercopithecus nictitans" 1 20 430 NA NA 0.0162790697674419
"Cercopithecus nictitans" 1 21 429 NA NA 0.0163170163170163
"Cercopithecus nictitans" 1 22 427 NA NA 0.0163934426229508
"Cercopithecus nictitans" 1 23 426 NA NA 0.0164319248826291
"Cercopithecus nictitans" 1 24 425 NA NA 0.0164705882352941
"Cercopithecus nictitans" 1 25 423 NA NA 0.0189125295508274
"Cercopithecus nictitans" 1 26 422 NA NA 0.018957345971564
"Cercopithecus nictitans" 1 27 422 NA NA 0.018957345971564
"Cercopithecus nictitans" 1 28 422 NA NA 0.018957345971564
"Cercopithecus nictitans" 1 29 422 NA NA 0.018957345971564
"Cercopithecus nictitans" 1 30 420 NA NA 0.019047619047619
"Cercopithecus nictitans" 1 31 419 NA NA 0.0190930787589499
"Cercopithecus nictitans" 1 32 419 NA NA 0.0190930787589499
"Cercopithecus nictitans" 1 33 415 NA NA 0.0216867469879518
"Cercopithecus nictitans" 1 34 415 NA NA 0.0216867469879518
"Cercopithecus nictitans" 1 35 413 NA NA 0.0242130750605327
"Cercopithecus nictitans" 1 36 412 NA NA 0.0266990291262136
"Cercopithecus nictitans" 1 37 410 -1.84625308255124 0.0648554666552809 0.0268292682926829
"Cercopithecus nictitans" 1 38 410 NA NA 0.0292682926829268
"Cercopithecus nictitans" 1 39 409 -1.95458098675819 0.0506325472872409 0.0293398533007335
"Cercopithecus nictitans" 1 40 408 NA NA 0.0294117647058824
"Cercopithecus nictitans" 1 41 407 -2.06113364925988 0.0392902913841733 0.0294840294840295
"Cercopithecus nictitans" 1 42 407 -2.06116537663147 0.0392872654503199 0.0294840294840295
"Cercopithecus nictitans" 1 43 405 -2.07912581041074 0.0376057883532511 0.0296296296296296
"Cercopithecus nictitans" 1 44 403 -2.08620895502671 0.0369596994253579 0.0297766749379653
"Cercopithecus nictitans" 1 45 402 -2.08626594252856 0.0369545398861251 0.0298507462686567
"Cercopithecus nictitans" 1 46 401 -2.08607522487807 0.0369718095057187 0.029925187032419
"Cercopithecus nictitans" 1 47 398 -2.08633409489427 0.0369483703069237 0.0301507537688442
"Cercopithecus nictitans" 1 48 397 -2.09344713453082 0.0363092585687716 0.0302267002518892
"Cercopithecus nictitans" 1 49 395 -2.09347294088923 0.0363069571124763 0.030379746835443
"Cercopithecus nictitans" 1 50 391 -1.80125479840028 0.071662728800063 0.0332480818414322
"Cercopithecus nictitans" 1 51 388 -1.80106510662237 0.071692618699052 0.0335051546391753
"Cercopithecus nictitans" 1 52 386 -1.9761172297505 0.0481415014334228 0.0362694300518135
"Cercopithecus nictitans" 1 53 382 -1.97589251219829 0.0481669524406393 0.0366492146596859
"Cercopithecus nictitans" 1 54 381 -1.96900627669873 0.0489523703108303 0.036745406824147
"Cercopithecus nictitans" 1 55 376 -1.68177056364295 0.092613338850235 0.0398936170212766
"Cercopithecus nictitans" 1 56 373 -1.68029083067775 0.0929007442130115 0.0402144772117962
"Cercopithecus nictitans" 1 57 370 -1.70744234306804 0.087739865788954 0.0405405405405405
"Cercopithecus nictitans" 1 58 366 -1.7233520039284 0.084824888790205 0.040983606557377
"Cercopithecus nictitans" 1 59 364 -1.72274261720221 0.0849350798476639 0.0412087912087912
"Cercopithecus nictitans" 1 60 361 -1.75821561814548 0.0787108287893125 0.0415512465373961
"Cercopithecus nictitans" 1 61 356 -1.72207497369847 0.0850559379329751 0.0421348314606742
