"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Cricetomys emini" 1 2 454 2.96558485285503 0.00302107993035824 0.134361233480176
"Cricetomys emini" 1 3 454 3.49471688764947 0.000474564855831893 0.180616740088106
"Cricetomys emini" 1 4 452 3.59528643722846 0.000324034855140256 0.207964601769911
"Cricetomys emini" 1 5 450 3.667421644744 0.000245008595198555 0.242222222222222
"Cricetomys emini" 1 6 449 4.09042183594319 4.30589311323059e-05 0.276169265033408
"Cricetomys emini" 1 7 447 4.22014879004397 2.44141130519435e-05 0.288590604026846
"Cricetomys emini" 1 8 447 4.06393255582317 4.82527738372825e-05 0.295302013422819
"Cricetomys emini" 1 9 447 4.23404882124788 2.29521082469044e-05 0.32662192393736
"Cricetomys emini" 1 10 445 4.03327598763028 5.50046147518838e-05 0.339325842696629
"Cricetomys emini" 1 11 440 4.03052819947285 5.56516514676225e-05 0.340909090909091
"Cricetomys emini" 1 12 439 3.4772899383532 0.000506509769193787 0.355353075170843
"Cricetomys emini" 1 13 438 3.23156610613543 0.00123113842926525 0.365296803652968
"Cricetomys emini" 1 14 436 3.21171850124452 0.00131943591513409 0.38302752293578
"Cricetomys emini" 1 15 436 3.17768561695229 0.00148455629207912 0.389908256880734
"Cricetomys emini" 1 16 435 3.09090024261952 0.00199550663486216 0.404597701149425
"Cricetomys emini" 1 17 435 2.94063832702018 0.00327536721069413 0.418390804597701
"Cricetomys emini" 1 18 434 2.97170107621464 0.00296154873978848 0.421658986175115
"Cricetomys emini" 1 19 432 3.01159751085061 0.00259876920861709 0.430555555555556
"Cricetomys emini" 1 20 430 3.05924806941045 0.00221893328040268 0.434883720930233
"Cricetomys emini" 1 21 429 3.1538095875235 0.00161154196505682 0.438228438228438
"Cricetomys emini" 1 22 427 2.89085577331137 0.00384194393224151 0.451990632318501
"Cricetomys emini" 1 23 426 2.83111371641693 0.0046386225998883 0.450704225352113
"Cricetomys emini" 1 24 425 3.03994211555959 0.00236623621470436 0.461176470588235
"Cricetomys emini" 1 25 423 3.10802667146006 0.00188341070018327 0.463356973995272
