"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Crossarchus platycephalus" 1 2 454 -0.0118555452593546 0.990540865064649 0.00220264317180617
"Crossarchus platycephalus" 1 3 454 NA NA 0.00440528634361234
"Crossarchus platycephalus" 1 4 452 NA NA 0.00442477876106195
"Crossarchus platycephalus" 1 5 450 NA NA 0.0133333333333333
"Crossarchus platycephalus" 1 6 449 NA NA 0.0178173719376392
"Crossarchus platycephalus" 1 7 447 0.391567374582031 0.695377898017075 0.0201342281879195
"Crossarchus platycephalus" 1 8 447 0.399484052988554 0.689536571735374 0.0201342281879195
"Crossarchus platycephalus" 1 9 447 0.342844855660708 0.731715178842313 0.0246085011185682
"Crossarchus platycephalus" 1 10 445 0.388350367130722 0.697756768732401 0.0292134831460674
"Crossarchus platycephalus" 1 11 440 0.611364515932095 0.540958288506659 0.0340909090909091
"Crossarchus platycephalus" 1 12 439 NA NA 0.0364464692482916
"Crossarchus platycephalus" 1 13 438 0.687777883745545 0.491592665431583 0.0388127853881279
"Crossarchus platycephalus" 1 14 436 0.483298074466959 0.628884107062323 0.0412844036697248
"Crossarchus platycephalus" 1 15 436 0.990162557026037 0.322094670677781 0.0458715596330275
"Crossarchus platycephalus" 1 16 435 1.24151038001188 0.21441726603043 0.0482758620689655
"Crossarchus platycephalus" 1 17 435 1.31054695455995 0.190010870687908 0.0528735632183908
"Crossarchus platycephalus" 1 18 434 1.31995023085981 0.186851635158831 0.0529953917050691
"Crossarchus platycephalus" 1 19 432 1.60449272400575 0.108605486995334 0.0578703703703704
"Crossarchus platycephalus" 1 20 430 1.60977315381607 0.107447388024515 0.0581395348837209
"Crossarchus platycephalus" 1 21 429 1.99465366485036 0.0460806662383688 0.0629370629370629
"Crossarchus platycephalus" 1 22 427 1.78983152152447 0.0734810001182528 0.0655737704918033
"Crossarchus platycephalus" 1 23 426 1.95936254812262 0.0500703434346145 0.068075117370892
"Crossarchus platycephalus" 1 24 425 NA NA 0.0729411764705882
"Crossarchus platycephalus" 1 25 423 1.60511273104932 0.108468998051468 0.0756501182033097
"Crossarchus platycephalus" 1 26 422 1.82214766478692 0.0684325830538673 0.0805687203791469
"Crossarchus platycephalus" 1 27 422 1.83003389675438 0.0672448703291966 0.0805687203791469
