"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Funisciurus isabella" 1 2 454 -2.04358993244665 0.0409940746849052 0.0462555066079295
"Funisciurus isabella" 1 3 454 -2.61269185837085 0.0089832255443162 0.066079295154185
"Funisciurus isabella" 1 4 452 -2.90617273768317 0.00365879405338459 0.0774336283185841
"Funisciurus isabella" 1 5 450 -3.04321050089632 0.00234068536783501 0.0911111111111111
"Funisciurus isabella" 1 6 449 -3.12084226541607 0.0018033459937618 0.10022271714922
"Funisciurus isabella" 1 7 447 -3.32058375502564 0.000898294012338227 0.10738255033557
"Funisciurus isabella" 1 8 447 -3.31032204808223 0.000931886853753468 0.120805369127517
"Funisciurus isabella" 1 9 447 -3.29020062462525 0.00100115973005102 0.129753914988814
"Funisciurus isabella" 1 10 445 -3.10812469144635 0.00188278612725052 0.134831460674157
"Funisciurus isabella" 1 11 440 -3.12649337649409 0.00176904489361316 0.136363636363636
"Funisciurus isabella" 1 12 439 -3.21312606459299 0.00131298645568083 0.134396355353075
"Funisciurus isabella" 1 13 438 -3.11849705185836 0.00181775960529001 0.139269406392694
"Funisciurus isabella" 1 14 436 -2.87695326057736 0.00401535065174782 0.146788990825688
"Funisciurus isabella" 1 15 436 -2.70038001409778 0.00692603146381505 0.149082568807339
"Funisciurus isabella" 1 16 435 -2.34825556401911 0.0188615747521109 0.15632183908046
"Funisciurus isabella" 1 17 435 -2.33877997499261 0.019346823615148 0.15632183908046
"Funisciurus isabella" 1 18 434 -2.64314832907863 0.00821390429330731 0.161290322580645
"Funisciurus isabella" 1 19 432 -2.50467139834417 0.0122565204372541 0.166666666666667
"Funisciurus isabella" 1 20 430 -2.61832431968135 0.00883627782250593 0.167441860465116
"Funisciurus isabella" 1 21 429 -2.53476054860163 0.0112524212924496 0.17016317016317
"Funisciurus isabella" 1 22 427 -2.50719691547954 0.0121692895763352 0.173302107728337
"Funisciurus isabella" 1 23 426 -2.53977565539602 0.0110923595501174 0.173708920187793
"Funisciurus isabella" 1 24 425 -2.77678962716765 0.00548986992161207 0.174117647058824
"Funisciurus isabella" 1 25 423 -2.84583304706192 0.00442954118914501 0.179669030732861
"Funisciurus isabella" 1 26 422 -3.19109025905332 0.00141736993820328 0.187203791469194
"Funisciurus isabella" 1 27 422 -3.22364741285802 0.00126569134838846 0.18957345971564
"Funisciurus isabella" 1 28 422 -3.26362000981273 0.00109998587035196 0.18957345971564
