"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Gorilla gorilla" 1 2 454 0.679738498690581 0.49667005454766 0.0066079295154185
"Gorilla gorilla" 1 3 454 0.078967520159986 0.937058457518552 0.00881057268722467
"Gorilla gorilla" 1 4 452 0.101320618266569 0.919295949407119 0.00884955752212389
"Gorilla gorilla" 1 5 450 -0.662110569554671 0.5079003624892 0.0133333333333333
"Gorilla gorilla" 1 6 449 NA NA 0.0133630289532294
"Gorilla gorilla" 1 7 447 NA NA 0.0246085011185682
"Gorilla gorilla" 1 8 447 NA NA 0.0268456375838926
"Gorilla gorilla" 1 9 447 NA NA 0.0268456375838926
"Gorilla gorilla" 1 10 445 NA NA 0.0269662921348315
"Gorilla gorilla" 1 11 440 NA NA 0.0295454545454545
"Gorilla gorilla" 1 12 439 NA NA 0.0296127562642369
"Gorilla gorilla" 1 13 438 NA NA 0.0365296803652968
"Gorilla gorilla" 1 14 436 NA NA 0.036697247706422
"Gorilla gorilla" 1 15 436 -1.04491052151878 0.296064326496606 0.0389908256880734
"Gorilla gorilla" 1 16 435 -1.04297645218583 0.296959198937844 0.0390804597701149
"Gorilla gorilla" 1 17 435 -1.24652523239993 0.212571631648276 0.0413793103448276
"Gorilla gorilla" 1 18 434 -0.87672417444317 0.380636472926996 0.0483870967741935
"Gorilla gorilla" 1 19 432 -1.05667436648514 0.290660227658519 0.0462962962962963
"Gorilla gorilla" 1 20 430 -1.23100334156127 0.218321614506693 0.0488372093023256
"Gorilla gorilla" 1 21 429 -1.74391666870758 0.0811736216101379 0.0559440559440559
"Gorilla gorilla" 1 22 427 -1.79342684318236 0.0729046985878973 0.0562060889929742
"Gorilla gorilla" 1 23 426 -1.91166485046581 0.0559191955037487 0.0586854460093897
"Gorilla gorilla" 1 24 425 -2.27048965960981 0.0231778899831361 0.0658823529411765
"Gorilla gorilla" 1 25 423 -2.54246698290395 0.0110073000202029 0.0709219858156028
"Gorilla gorilla" 1 26 422 -2.65485426692679 0.00793426778801899 0.0734597156398104
