"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Homo sapiens" 1 2 454 0.064494036137898 0.94857685569972 0.00220264317180617
"Homo sapiens" 1 3 454 0.0877923158612998 0.930041745237949 0.00220264317180617
"Homo sapiens" 1 4 452 0.0920812537527661 0.926633482504965 0.00442477876106195
"Homo sapiens" 1 5 450 NA NA 0.00444444444444444
"Homo sapiens" 1 6 449 NA NA 0.0044543429844098
"Homo sapiens" 1 7 447 NA NA 0.00447427293064877
"Homo sapiens" 1 8 447 NA NA 0.00447427293064877
"Homo sapiens" 1 9 447 NA NA 0.00447427293064877
"Homo sapiens" 1 10 445 NA NA 0.00449438202247191
"Homo sapiens" 1 11 440 NA NA 0.00454545454545455
"Homo sapiens" 1 12 439 NA NA 0.00455580865603645
"Homo sapiens" 1 13 438 NA NA 0.0045662100456621
"Homo sapiens" 1 14 436 NA NA 0.00458715596330275
"Homo sapiens" 1 15 436 NA NA 0.00458715596330275
"Homo sapiens" 1 16 435 0.00258743745039676 0.997935525909837 0.00919540229885057
"Homo sapiens" 1 17 435 0.00235158493527484 0.998123708416028 0.00919540229885057
"Homo sapiens" 1 18 434 NA NA 0.00921658986175115
"Homo sapiens" 1 19 432 0.00108938019254085 0.999130800535447 0.00925925925925926
"Homo sapiens" 1 20 430 0.00237368352149309 0.998106076344481 0.00930232558139535
"Homo sapiens" 1 21 429 0.00124696299398303 0.999005067737048 0.00932400932400932
"Homo sapiens" 1 22 427 NA NA 0.00936768149882904
"Homo sapiens" 1 23 426 0.000882842641012115 0.999295593578622 0.00938967136150235
"Homo sapiens" 1 24 425 0.00175633897810489 0.9985986449663 0.00941176470588235
"Homo sapiens" 1 25 423 0.000616238134608377 0.999508313137738 0.00945626477541371
"Homo sapiens" 1 26 422 0.00173950252889608 0.998612078488661 0.00947867298578199
"Homo sapiens" 1 27 422 0.000869581147682335 0.999306174715341 0.00947867298578199
"Homo sapiens" 1 28 422 0.00151060753638951 0.998794710027681 0.00947867298578199
"Homo sapiens" 1 29 422 0.00123525638076206 0.999014408255802 0.00947867298578199
"Homo sapiens" 1 30 420 0.00288285422765964 0.997699818306782 0.00952380952380952
"Homo sapiens" 1 31 419 0.00307560854964691 0.997546023292009 0.00954653937947494
"Homo sapiens" 1 32 419 NA NA 0.00954653937947494
"Homo sapiens" 1 33 415 0.00191580155520748 0.998471412452599 0.00963855421686747
"Homo sapiens" 1 34 415 NA NA 0.00963855421686747
"Homo sapiens" 1 35 413 0.00260033406629384 0.997925235933743 0.00968523002421308
"Homo sapiens" 1 36 412 0.00190706513623537 0.99847838309368 0.00970873786407767
"Homo sapiens" 1 37 410 NA NA 0.0146341463414634
