"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Hyemoschus aquaticus" 1 2 454 -2.09784607185288 0.0359187451575856 0.0308370044052863
"Hyemoschus aquaticus" 1 3 454 -2.25554131466408 0.0240993720690272 0.0440528634361234
"Hyemoschus aquaticus" 1 4 452 -1.82783521323619 0.0675742866540513 0.0486725663716814
"Hyemoschus aquaticus" 1 5 450 -2.10016949901663 0.0357139334265114 0.0533333333333333
"Hyemoschus aquaticus" 1 6 449 -2.14162208316853 0.0322239052340026 0.0534521158129176
"Hyemoschus aquaticus" 1 7 447 -1.93371832660782 0.0531477693087912 0.0648769574944072
"Hyemoschus aquaticus" 1 8 447 -2.32027409391649 0.0203260546119173 0.0715883668903803
"Hyemoschus aquaticus" 1 9 447 -2.62119513206718 0.00876220931218448 0.0782997762863535
"Hyemoschus aquaticus" 1 10 445 -2.79354708274892 0.00521334391527572 0.0808988764044944
"Hyemoschus aquaticus" 1 11 440 -2.93746176184106 0.00330910977366113 0.0886363636363636
"Hyemoschus aquaticus" 1 12 439 -2.96599115295479 0.00301709168445728 0.0888382687927107
"Hyemoschus aquaticus" 1 13 438 -3.03377683258307 0.00241513014443343 0.091324200913242
"Hyemoschus aquaticus" 1 14 436 -3.28111725515583 0.00103396750332468 0.0963302752293578
"Hyemoschus aquaticus" 1 15 436 -3.38712363918553 0.000706295500597988 0.0986238532110092
"Hyemoschus aquaticus" 1 16 435 -3.52671685720041 0.000420746449667104 0.101149425287356
"Hyemoschus aquaticus" 1 17 435 -3.34863006292848 0.000812121526427784 0.103448275862069
"Hyemoschus aquaticus" 1 18 434 -3.41665168629646 0.000633963350225115 0.1036866359447
"Hyemoschus aquaticus" 1 19 432 -3.45410689015272 0.000552118495715983 0.104166666666667
"Hyemoschus aquaticus" 1 20 430 -3.48545060319746 0.000491308925343521 0.104651162790698
"Hyemoschus aquaticus" 1 21 429 -3.46492211266397 0.000530385063670012 0.10955710955711
"Hyemoschus aquaticus" 1 22 427 -3.50258340122225 0.000460769507548463 0.110070257611241
"Hyemoschus aquaticus" 1 23 426 -3.4052980222077 0.000660918836153942 0.112676056338028
"Hyemoschus aquaticus" 1 24 425 -3.4452599196025 0.000570510513728964 0.112941176470588
"Hyemoschus aquaticus" 1 25 423 -3.5635867562268 0.000365821712509011 0.115839243498818
"Hyemoschus aquaticus" 1 26 422 -3.47612577520629 0.000508713646655945 0.113744075829384
"Hyemoschus aquaticus" 1 27 422 -3.3878860724031 0.00070433513840562 0.12085308056872
"Hyemoschus aquaticus" 1 28 422 -3.39569992308913 0.000684533619103006 0.125592417061611
"Hyemoschus aquaticus" 1 29 422 -3.31721479587604 0.000909196884997806 0.127962085308057
"Hyemoschus aquaticus" 1 30 420 -3.33540581645746 0.000851750007053267 0.128571428571429
"Hyemoschus aquaticus" 1 31 419 -3.38250546294335 0.00071827849271329 0.128878281622912
"Hyemoschus aquaticus" 1 32 419 -3.29890946648624 0.000970612090794085 0.13126491646778
"Hyemoschus aquaticus" 1 33 415 -3.27868828568792 0.00104290765284118 0.132530120481928
"Hyemoschus aquaticus" 1 34 415 -3.45038843920105 0.000559780475578106 0.134939759036145
"Hyemoschus aquaticus" 1 35 413 -3.41785024397913 0.000631178256882903 0.13317191283293
"Hyemoschus aquaticus" 1 36 412 -3.58055895641502 0.000342859968182725 0.135922330097087
"Hyemoschus aquaticus" 1 37 410 -3.68635492081118 0.000227489031183358 0.136585365853659
"Hyemoschus aquaticus" 1 38 410 -3.72158039660375 0.000197979810976435 0.136585365853659
"Hyemoschus aquaticus" 1 39 409 -3.81015937749146 0.000138877233812411 0.136919315403423
"Hyemoschus aquaticus" 1 40 408 -3.86254877400936 0.000112210152907231 0.137254901960784
"Hyemoschus aquaticus" 1 41 407 -3.88560756642501 0.000102074283475278 0.137592137592138
"Hyemoschus aquaticus" 1 42 407 -3.91625971042348 8.99333654586073e-05 0.137592137592138
"Hyemoschus aquaticus" 1 43 405 -3.85873022196039 0.00011397766862851 0.135802469135802
"Hyemoschus aquaticus" 1 44 403 -3.84265829564439 0.000121708865239587 0.133995037220844
"Hyemoschus aquaticus" 1 45 402 -4.03617303696433 5.43301520670757e-05 0.13681592039801
"Hyemoschus aquaticus" 1 46 401 -4.14149919933286 3.45043077790584e-05 0.139650872817955
"Hyemoschus aquaticus" 1 47 398 -4.05767851820224 4.9562929085607e-05 0.14321608040201
"Hyemoschus aquaticus" 1 48 397 -4.11170185039976 3.92753286378883e-05 0.143576826196474
"Hyemoschus aquaticus" 1 49 395 -4.17479795247585 2.98250638393753e-05 0.144303797468354
"Hyemoschus aquaticus" 1 50 391 -4.23380703279953 2.2976811977918e-05 0.145780051150895
"Hyemoschus aquaticus" 1 51 388 -4.20225242414749 2.64272207042095e-05 0.146907216494845
"Hyemoschus aquaticus" 1 52 386 -4.13698763356213 3.51895066566258e-05 0.147668393782383
"Hyemoschus aquaticus" 1 53 382 -4.11673828870005 3.8427200446187e-05 0.149214659685864
"Hyemoschus aquaticus" 1 54 381 -4.09508735871809 4.220092325131e-05 0.154855643044619
"Hyemoschus aquaticus" 1 55 376 -4.10851907589691 3.9820431876541e-05 0.156914893617021
"Hyemoschus aquaticus" 1 56 373 -4.09706729717236 4.18417291894439e-05 0.158176943699732
