"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Loxodonta cyclotis" 1 2 454 -0.214314972978968 0.830301442545163 0.0286343612334802
"Loxodonta cyclotis" 1 3 454 -0.919523889302529 0.357821616123996 0.0352422907488987
"Loxodonta cyclotis" 1 4 452 -1.24159091949863 0.21438753378319 0.0398230088495575
"Loxodonta cyclotis" 1 5 450 -1.85763303013885 0.0632211446563069 0.0533333333333333
"Loxodonta cyclotis" 1 6 449 -2.19348126198967 0.0282727231822414 0.0645879732739421
"Loxodonta cyclotis" 1 7 447 -2.48175015007167 0.013073890933796 0.0805369127516778
"Loxodonta cyclotis" 1 8 447 -2.84799781795535 0.00439952262165112 0.0939597315436242
"Loxodonta cyclotis" 1 9 447 -3.28808582800326 0.00100871082683754 0.114093959731544
"Loxodonta cyclotis" 1 10 445 -3.39902301749353 0.000676270247443855 0.11685393258427
"Loxodonta cyclotis" 1 11 440 -3.57753760156243 0.000346846335956867 0.122727272727273
"Loxodonta cyclotis" 1 12 439 -3.69604641386853 0.000218982955903683 0.125284738041002
"Loxodonta cyclotis" 1 13 438 -3.99090954065739 6.5820383789524e-05 0.134703196347032
"Loxodonta cyclotis" 1 14 436 -4.1632352366173 3.13769813414071e-05 0.139908256880734
"Loxodonta cyclotis" 1 15 436 -4.2456622463237 2.17948731596022e-05 0.142201834862385
"Loxodonta cyclotis" 1 16 435 -4.56209817304232 5.06449553385642e-06 0.151724137931034
"Loxodonta cyclotis" 1 17 435 -4.69553322207953 2.65912143632657e-06 0.160919540229885
"Loxodonta cyclotis" 1 18 434 -4.73227090776711 2.2202182059311e-06 0.168202764976959
"Loxodonta cyclotis" 1 19 432 -5.01154883004773 5.39936781062016e-07 0.175925925925926
"Loxodonta cyclotis" 1 20 430 -5.27120139587815 1.35533649448405e-07 0.183720930232558
"Loxodonta cyclotis" 1 21 429 -5.23315366120417 1.66642093609453e-07 0.191142191142191
"Loxodonta cyclotis" 1 22 427 -5.24010466094791 1.60485550666431e-07 0.201405152224824
"Loxodonta cyclotis" 1 23 426 -5.22193317310696 1.77064871787023e-07 0.208920187793427
"Loxodonta cyclotis" 1 24 425 -5.41466987820017 6.14018839500196e-08 0.218823529411765
"Loxodonta cyclotis" 1 25 423 -5.42656117274343 5.74501412580268e-08 0.222222222222222
"Loxodonta cyclotis" 1 26 422 -5.49751608780678 3.85178184525271e-08 0.229857819905213
"Loxodonta cyclotis" 1 27 422 -5.81307021965596 6.13373163279103e-09 0.241706161137441
"Loxodonta cyclotis" 1 28 422 -5.58460680792409 2.34229531522233e-08 0.253554502369668
"Loxodonta cyclotis" 1 29 422 -5.4131106912619 6.193917386964e-08 0.26303317535545
"Loxodonta cyclotis" 1 30 420 -5.9045319772771 3.5364927413175e-09 0.285714285714286
"Loxodonta cyclotis" 1 31 419 -5.75437901136798 8.69608588454372e-09 0.288782816229117
"Loxodonta cyclotis" 1 32 419 -5.731023998166 9.98261404539492e-09 0.295942720763723
"Loxodonta cyclotis" 1 33 415 -6.08825233423514 1.14149863284756e-09 0.296385542168675
"Loxodonta cyclotis" 1 34 415 -6.19540183186503 5.81365181288712e-10 0.298795180722892
"Loxodonta cyclotis" 1 35 413 -6.1589983601954 7.32064847016716e-10 0.300242130750605
"Loxodonta cyclotis" 1 36 412 -6.33550587996125 2.36563792610397e-10 0.305825242718447
"Loxodonta cyclotis" 1 37 410 -6.07827096624331 1.21485343323999e-09 0.302439024390244
"Loxodonta cyclotis" 1 38 410 -6.32732952037154 2.49440310397902e-10 0.314634146341463
"Loxodonta cyclotis" 1 39 409 -6.48659000611275 8.78008370664805e-11 0.317848410757946
"Loxodonta cyclotis" 1 40 408 -6.66941519051322 2.5682474018946e-11 0.330882352941176
"Loxodonta cyclotis" 1 41 407 -6.64619306761281 3.0077068572535e-11 0.339066339066339
"Loxodonta cyclotis" 1 42 407 -6.59178501799262 4.34569570034879e-11 0.341523341523342
"Loxodonta cyclotis" 1 43 405 -6.70154287876938 2.06230320467879e-11 0.348148148148148
"Loxodonta cyclotis" 1 44 403 -6.93725776287998 3.99784002608129e-12 0.354838709677419
"Loxodonta cyclotis" 1 45 402 -7.02265104207307 2.17697455176433e-12 0.355721393034826
"Loxodonta cyclotis" 1 46 401 -7.17943450209836 7.0000348236417e-13 0.361596009975062
"Loxodonta cyclotis" 1 47 398 -7.53481780417336 4.89017126005471e-14 0.35929648241206
"Loxodonta cyclotis" 1 48 397 -7.50856119838949 5.97807391374749e-14 0.365239294710327
"Loxodonta cyclotis" 1 49 395 -7.71235911551652 1.23512993083706e-14 0.369620253164557
"Loxodonta cyclotis" 1 50 391 -7.76353230562247 8.25960715589461e-15 0.373401534526854
"Loxodonta cyclotis" 1 51 388 -7.9496302915162 1.87068944182877e-15 0.376288659793814
"Loxodonta cyclotis" 1 52 386 -7.95094731229253 1.85090658552445e-15 0.375647668393782
"Loxodonta cyclotis" 1 53 382 -8.18558903401258 2.70974963679533e-16 0.37696335078534
"Loxodonta cyclotis" 1 54 381 -7.99694044978843 1.27548887401624e-15 0.385826771653543
"Loxodonta cyclotis" 1 55 376 -7.98037854617281 1.45885185543861e-15 0.388297872340426
"Loxodonta cyclotis" 1 56 373 -7.98443454078466 1.41167908359593e-15 0.39142091152815
"Loxodonta cyclotis" 1 57 370 -8.10034726489712 5.48025272424622e-16 0.394594594594595
"Loxodonta cyclotis" 1 58 366 -8.14078929199295 3.92709311837862e-16 0.396174863387978
"Loxodonta cyclotis" 1 59 364 -8.22611175147826 1.93388598916499e-16 0.395604395604396
"Loxodonta cyclotis" 1 60 361 -8.2411353108608 1.70584176724777e-16 0.401662049861496
"Loxodonta cyclotis" 1 61 356 -8.44347292267247 3.08045748669415e-17 0.401685393258427
"Loxodonta cyclotis" 1 62 351 -8.43131292615602 3.41808374524904e-17 0.407407407407407
"Loxodonta cyclotis" 1 63 349 -8.36364431868325 6.08100617246211e-17 0.415472779369628
"Loxodonta cyclotis" 1 64 341 -7.98438962387978 1.41219316474058e-15 0.428152492668622
"Loxodonta cyclotis" 1 65 327 -7.33404018574426 2.2331608772235e-13 0.44954128440367
"Loxodonta cyclotis" 1 66 320 -7.26189222812786 3.81712287438374e-13 0.459375
"Loxodonta cyclotis" 1 67 304 -5.74886037759619 8.98469723170400e-09 0.476973684210526
"Loxodonta cyclotis" 1 68 296 -5.70615403767969 1.15557429211785e-08 0.47972972972973
"Loxodonta cyclotis" 1 69 283 -6.18231902297042 6.31667082221307e-10 0.477031802120141
