"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Mandrillus sphinx" 1 2 454 1.12164517516709 0.262013335762878 0.0110132158590308
"Mandrillus sphinx" 1 3 454 NA NA 0.0198237885462555
"Mandrillus sphinx" 1 4 452 0.921592864281312 0.356740981954369 0.0265486725663717
"Mandrillus sphinx" 1 5 450 NA NA 0.0311111111111111
"Mandrillus sphinx" 1 6 449 1.32855639364349 0.183994366640269 0.0311804008908686
"Mandrillus sphinx" 1 7 447 NA NA 0.0313199105145414
"Mandrillus sphinx" 1 8 447 NA NA 0.0313199105145414
"Mandrillus sphinx" 1 9 447 NA NA 0.0357941834451902
"Mandrillus sphinx" 1 10 445 1.24652129029057 0.212573077956819 0.0426966292134831
"Mandrillus sphinx" 1 11 440 0.810387380289814 0.417717568582014 0.0454545454545455
"Mandrillus sphinx" 1 12 439 0.305436376194556 0.760033820385268 0.0569476082004556
"Mandrillus sphinx" 1 13 438 0.479254350006488 0.631757693533251 0.0593607305936073
"Mandrillus sphinx" 1 14 436 -0.0244175165980724 0.980519576266335 0.0642201834862385
"Mandrillus sphinx" 1 15 436 0.117030752934507 0.906835683606134 0.0688073394495413
"Mandrillus sphinx" 1 16 435 0.0872898878714661 0.930441091649864 0.0735632183908046
"Mandrillus sphinx" 1 17 435 0.27976000442561 0.7796616386982 0.0758620689655172
"Mandrillus sphinx" 1 18 434 0.246983253395427 0.804921184515107 0.076036866359447
"Mandrillus sphinx" 1 19 432 0.344628207256589 0.730373897152393 0.0833333333333333
"Mandrillus sphinx" 1 20 430 0.281039847690911 0.778679836927018 0.0837209302325581
"Mandrillus sphinx" 1 21 429 -0.186140023650505 0.852334956010433 0.0909090909090909
"Mandrillus sphinx" 1 22 427 -0.444028045389376 0.657022307491105 0.100702576112412
"Mandrillus sphinx" 1 23 426 -0.397752225552899 0.690812836301876 0.103286384976526
"Mandrillus sphinx" 1 24 425 -0.183414594221656 0.854472725574547 0.108235294117647
"Mandrillus sphinx" 1 25 423 -0.146646090571916 0.883411371910104 0.113475177304965
"Mandrillus sphinx" 1 26 422 -0.0673928457817661 0.946268964481284 0.116113744075829
"Mandrillus sphinx" 1 27 422 NA NA 0.12085308056872
"Mandrillus sphinx" 1 28 422 NA NA 0.123222748815166
"Mandrillus sphinx" 1 29 422 NA NA 0.127962085308057
"Mandrillus sphinx" 1 30 420 NA NA 0.130952380952381
"Mandrillus sphinx" 1 31 419 NA NA 0.133651551312649
"Mandrillus sphinx" 1 32 419 0.205021014896504 0.837555706249451 0.145584725536993
"Mandrillus sphinx" 1 33 415 0.26000094028192 0.79486304829437 0.146987951807229
"Mandrillus sphinx" 1 34 415 0.309515402705226 0.756929497348738 0.146987951807229
"Mandrillus sphinx" 1 35 413 0.119309903109408 0.905029837996442 0.150121065375303
"Mandrillus sphinx" 1 36 412 0.0767143400160985 0.938850796476843 0.150485436893204
"Mandrillus sphinx" 1 37 410 -0.613773526886892 0.539364993243144 0.160975609756098
"Mandrillus sphinx" 1 38 410 -0.610045191389937 0.541831871875108 0.160975609756098
"Mandrillus sphinx" 1 39 409 -0.615917688220963 0.53794884673358 0.161369193154034
"Mandrillus sphinx" 1 40 408 -0.801201281191108 0.423015129637509 0.159313725490196
"Mandrillus sphinx" 1 41 407 -0.857363221386066 0.391244178649178 0.15970515970516
"Mandrillus sphinx" 1 42 407 -1.06948191586059 0.284852573316366 0.162162162162162
"Mandrillus sphinx" 1 43 405 -0.932019128647995 0.351326639874443 0.160493827160494
"Mandrillus sphinx" 1 44 403 -0.85902946588614 0.390324259573031 0.158808933002481
"Mandrillus sphinx" 1 45 402 -0.83166596632016 0.405597516039534 0.159203980099502
"Mandrillus sphinx" 1 46 401 -0.869250552520592 0.384710102420063 0.162094763092269
"Mandrillus sphinx" 1 47 398 -0.968942597996413 0.332573830060725 0.163316582914573
"Mandrillus sphinx" 1 48 397 -1.12661251122393 0.259906347040983 0.16624685138539
"Mandrillus sphinx" 1 49 395 -0.871227513231217 0.383629940137559 0.167088607594937
"Mandrillus sphinx" 1 50 391 NA NA 0.168797953964194
"Mandrillus sphinx" 1 51 388 -1.62102434705379 0.10501241722644 0.172680412371134
"Mandrillus sphinx" 1 52 386 -1.76710348804748 0.0772108984794691 0.16839378238342
"Mandrillus sphinx" 1 53 382 -1.43442707348364 0.151450426285622 0.175392670157068
"Mandrillus sphinx" 1 54 381 -1.4299655739702 0.152726899900553 0.175853018372703
"Mandrillus sphinx" 1 55 376 -1.46436991784644 0.143092902857871 0.175531914893617
"Mandrillus sphinx" 1 56 373 -1.66642620208369 0.095628555590654 0.179624664879357
"Mandrillus sphinx" 1 57 370 NA NA 0.181081081081081
"Mandrillus sphinx" 1 58 366 -1.68934521981471 0.0911532923187774 0.183060109289617
"Mandrillus sphinx" 1 59 364 -1.78184874578598 0.0747739006344647 0.184065934065934
"Mandrillus sphinx" 1 60 361 NA NA 0.185595567867036
"Mandrillus sphinx" 1 61 356 -1.40900071135086 0.158834957792093 0.188202247191011
"Mandrillus sphinx" 1 62 351 NA NA 0.188034188034188
"Mandrillus sphinx" 1 63 349 NA NA 0.194842406876791
"Mandrillus sphinx" 1 64 341 NA NA 0.19941348973607
"Mandrillus sphinx" 1 65 327 -1.67274030380151 0.0943784312769581 0.207951070336391
"Mandrillus sphinx" 1 66 320 NA NA 0.2125
"Mandrillus sphinx" 1 67 304 NA NA 0.233552631578947
"Mandrillus sphinx" 1 68 296 -1.77720040382146 0.0755352730465044 0.243243243243243
"Mandrillus sphinx" 1 69 283 NA NA 0.250883392226148
"Mandrillus sphinx" 1 70 272 -1.75409167132893 0.0794148005630169 0.261029411764706
"Mandrillus sphinx" 1 71 268 NA NA 0.257462686567164
"Mandrillus sphinx" 1 72 249 -2.03284238516898 0.0420684494107664 0.269076305220884
"Mandrillus sphinx" 1 73 231 NA NA 0.294372294372294
"Mandrillus sphinx" 1 74 225 NA NA 0.302222222222222
"Mandrillus sphinx" 1 75 218 NA NA 0.31651376146789
"Mandrillus sphinx" 1 76 216 NA NA 0.328703703703704
"Mandrillus sphinx" 1 77 211 NA NA 0.33175355450237
"Mandrillus sphinx" 1 78 209 NA NA 0.330143540669856
"Mandrillus sphinx" 1 79 195 NA NA 0.312820512820513
"Mandrillus sphinx" 1 80 180 NA NA 0.311111111111111
"Mandrillus sphinx" 1 81 176 NA NA 0.318181818181818
"Mandrillus sphinx" 1 82 170 NA NA 0.329411764705882
"Mandrillus sphinx" 1 83 166 NA NA 0.337349397590361
"Mandrillus sphinx" 1 84 166 NA NA 0.337349397590361
"Mandrillus sphinx" 1 85 166 NA NA 0.337349397590361
"Mandrillus sphinx" 1 86 165 NA NA 0.339393939393939
"Mandrillus sphinx" 1 87 163 NA NA 0.343558282208589
"Mandrillus sphinx" 1 88 158 NA NA 0.354430379746835
"Mandrillus sphinx" 1 89 153 NA NA 0.366013071895425
"Mandrillus sphinx" 1 90 151 NA NA 0.370860927152318
"Mandrillus sphinx" 1 91 150 NA NA 0.38
"Mandrillus sphinx" 1 92 146 NA NA 0.383561643835616
"Mandrillus sphinx" 1 93 142 NA NA 0.394366197183099
"Mandrillus sphinx" 1 94 142 NA NA 0.401408450704225
"Mandrillus sphinx" 1 95 127 NA NA 0.409448818897638
"Mandrillus sphinx" 1 96 105 NA NA 0.40952380952381
"Mandrillus sphinx" 1 97 89 NA NA 0.337078651685393
"Mandrillus sphinx" 1 98 75 NA NA 0.253333333333333
"Mandrillus sphinx" 1 99 75 NA NA 0.253333333333333
"Mandrillus sphinx" 1 100 75 NA NA 0.253333333333333
"Mandrillus sphinx" 1 101 75 NA NA 0.253333333333333
"Mandrillus sphinx" 1 102 75 NA NA 0.253333333333333
"Mandrillus sphinx" 1 103 75 NA NA 0.253333333333333
"Mandrillus sphinx" 1 104 75 NA NA 0.253333333333333
"Mandrillus sphinx" 1 105 73 NA NA 0.246575342465753
"Mandrillus sphinx" 1 106 61 NA NA 0.147540983606557
"Mandrillus sphinx" 1 107 56 NA NA 0.142857142857143
"Mandrillus sphinx" 1 108 49 NA NA 0.142857142857143
"Mandrillus sphinx" 1 109 48 NA NA 0.145833333333333
