"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Mellivora capensis" 1 2 454 NA NA 0
"Mellivora capensis" 1 3 454 NA NA 0
"Mellivora capensis" 1 4 452 NA NA 0
"Mellivora capensis" 1 5 450 NA NA 0
"Mellivora capensis" 1 6 449 NA NA 0
"Mellivora capensis" 1 7 447 NA NA 0
"Mellivora capensis" 1 8 447 NA NA 0
"Mellivora capensis" 1 9 447 NA NA 0.00223713646532438
"Mellivora capensis" 1 10 445 NA NA 0.00224719101123596
"Mellivora capensis" 1 11 440 NA NA 0.00227272727272727
"Mellivora capensis" 1 12 439 NA NA 0.00227790432801822
"Mellivora capensis" 1 13 438 NA NA 0.00228310502283105
"Mellivora capensis" 1 14 436 NA NA 0.00229357798165138
"Mellivora capensis" 1 15 436 NA NA 0.00229357798165138
"Mellivora capensis" 1 16 435 NA NA 0.00229885057471264
"Mellivora capensis" 1 17 435 NA NA 0.00229885057471264
"Mellivora capensis" 1 18 434 NA NA 0.00230414746543779
"Mellivora capensis" 1 19 432 NA NA 0.00231481481481481
"Mellivora capensis" 1 20 430 NA NA 0.00232558139534884
"Mellivora capensis" 1 21 429 NA NA 0.00466200466200466
"Mellivora capensis" 1 22 427 NA NA 0.00702576112412178
"Mellivora capensis" 1 23 426 NA NA 0.00704225352112676
"Mellivora capensis" 1 24 425 NA NA 0.00705882352941176
"Mellivora capensis" 1 25 423 NA NA 0.00709219858156028
"Mellivora capensis" 1 26 422 NA NA 0.00710900473933649
"Mellivora capensis" 1 27 422 NA NA 0.00710900473933649
"Mellivora capensis" 1 28 422 NA NA 0.00710900473933649
"Mellivora capensis" 1 29 422 NA NA 0.00710900473933649
"Mellivora capensis" 1 30 420 NA NA 0.00714285714285714
"Mellivora capensis" 1 31 419 NA NA 0.00715990453460621
"Mellivora capensis" 1 32 419 NA NA 0.00715990453460621
"Mellivora capensis" 1 33 415 NA NA 0.0072289156626506
"Mellivora capensis" 1 34 415 NA NA 0.0072289156626506
"Mellivora capensis" 1 35 413 -0.436386959434266 0.662555998790333 0.00726392251815981
"Mellivora capensis" 1 36 412 NA NA 0.00728155339805825
"Mellivora capensis" 1 37 410 NA NA 0.00731707317073171
"Mellivora capensis" 1 38 410 NA NA 0.00731707317073171
"Mellivora capensis" 1 39 409 NA NA 0.00733496332518337
"Mellivora capensis" 1 40 408 NA NA 0.00735294117647059
"Mellivora capensis" 1 41 407 -0.439401514171835 0.660370629563342 0.00737100737100737
"Mellivora capensis" 1 42 407 NA NA 0.00982800982800983
"Mellivora capensis" 1 43 405 NA NA 0.00987654320987654
"Mellivora capensis" 1 44 403 NA NA 0.0124069478908189
"Mellivora capensis" 1 45 402 NA NA 0.0124378109452736
"Mellivora capensis" 1 46 401 NA NA 0.0124688279301746
"Mellivora capensis" 1 47 398 NA NA 0.0100502512562814
"Mellivora capensis" 1 48 397 NA NA 0.0100755667506297
"Mellivora capensis" 1 49 395 NA NA 0.010126582278481
