"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Nandinia binotata" 1 2 454 NA NA 0
"Nandinia binotata" 1 3 454 NA NA 0.00220264317180617
"Nandinia binotata" 1 4 452 NA NA 0.0154867256637168
"Nandinia binotata" 1 5 450 NA NA 0.0222222222222222
"Nandinia binotata" 1 6 449 NA NA 0.0267260579064588
"Nandinia binotata" 1 7 447 NA NA 0.029082774049217
"Nandinia binotata" 1 8 447 1.85129899979745 0.064126549913615 0.0357941834451902
"Nandinia binotata" 1 9 447 2.27291001612832 0.0230316030898294 0.0447427293064877
"Nandinia binotata" 1 10 445 2.53584875384316 0.0112175170239382 0.0471910112359551
"Nandinia binotata" 1 11 440 2.80060392882976 0.00510070800166688 0.0545454545454545
"Nandinia binotata" 1 12 439 2.82792045127824 0.00468514469609365 0.0546697038724374
"Nandinia binotata" 1 13 438 1.94404528620292 0.0518899902790693 0.0662100456621005
"Nandinia binotata" 1 14 436 1.11798132910261 0.263574967660241 0.0756880733944954
"Nandinia binotata" 1 15 436 1.21313272781719 0.225079079009224 0.0802752293577982
"Nandinia binotata" 1 16 435 1.1647140773847 0.244134748764114 0.0827586206896552
"Nandinia binotata" 1 17 435 1.18599049589283 0.235626052842249 0.0827586206896552
"Nandinia binotata" 1 18 434 0.982858379889916 0.32567714434581 0.0944700460829493
"Nandinia binotata" 1 19 432 0.990776109507915 0.321794917407909 0.0949074074074074
"Nandinia binotata" 1 20 430 0.850262409117552 0.395179210978914 0.0976744186046512
"Nandinia binotata" 1 21 429 0.61836289770848 0.536336149267566 0.107226107226107
"Nandinia binotata" 1 22 427 0.930863470818793 0.35192419240816 0.117096018735363
"Nandinia binotata" 1 23 426 1.03652301550717 0.299958207758136 0.119718309859155
"Nandinia binotata" 1 24 425 0.727973807537771 0.466629620074178 0.124705882352941
"Nandinia binotata" 1 25 423 0.76383340755472 0.444966525629284 0.125295508274232
"Nandinia binotata" 1 26 422 1.12571036927693 0.260288133230486 0.125592417061611
"Nandinia binotata" 1 27 422 0.968325652557029 0.332881757202764 0.127962085308057
"Nandinia binotata" 1 28 422 1.05597124273312 0.290981353355691 0.132701421800948
"Nandinia binotata" 1 29 422 1.13605467291161 0.255933683506692 0.132701421800948
"Nandinia binotata" 1 30 420 1.57488028958924 0.115284079080185 0.14047619047619
"Nandinia binotata" 1 31 419 1.62390347751491 0.10439641027877 0.143198090692124
"Nandinia binotata" 1 32 419 1.85390652317207 0.0637525345066496 0.15035799522673
"Nandinia binotata" 1 33 415 1.77761773392913 0.0754666591767223 0.156626506024096
"Nandinia binotata" 1 34 415 1.78992047112804 0.0734666973863049 0.156626506024096
"Nandinia binotata" 1 35 413 1.92503820734694 0.0542245784982982 0.159806295399516
"Nandinia binotata" 1 36 412 1.94952140704526 0.0512331888802776 0.160194174757282
