"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Pan troglodytes" 1 2 454 -1.27821146581715 0.201174874416066 0.0110132158590308
"Pan troglodytes" 1 3 454 NA NA 0.0220264317180617
"Pan troglodytes" 1 4 452 NA NA 0.0309734513274336
"Pan troglodytes" 1 5 450 -1.67873546535566 0.0932036107857569 0.04
"Pan troglodytes" 1 6 449 -1.11510931242096 0.264803581365682 0.0489977728285078
"Pan troglodytes" 1 7 447 -0.944214212675118 0.345060193784234 0.0469798657718121
"Pan troglodytes" 1 8 447 -1.68235658078161 0.0924997155288545 0.0559284116331096
"Pan troglodytes" 1 9 447 -1.3991964489895 0.161754081154439 0.0626398210290828
"Pan troglodytes" 1 10 445 -1.43041181394883 0.152598859520689 0.0696629213483146
"Pan troglodytes" 1 11 440 -1.88515900766096 0.0594083733540191 0.0772727272727273
"Pan troglodytes" 1 12 439 -2.13213861554454 0.0329954529428636 0.082004555808656
"Pan troglodytes" 1 13 438 -2.24613509601783 0.0246953559563679 0.089041095890411
"Pan troglodytes" 1 14 436 -2.76536586147221 0.00568589845082757 0.0986238532110092
"Pan troglodytes" 1 15 436 -2.69895911566493 0.00695567209058465 0.103211009174312
"Pan troglodytes" 1 16 435 -2.79108994124565 0.00525308728325041 0.105747126436782
"Pan troglodytes" 1 17 435 -2.65971558413188 0.00782066617128795 0.114942528735632
"Pan troglodytes" 1 18 434 -2.7421539466736 0.00610377272992096 0.117511520737327
"Pan troglodytes" 1 19 432 -2.48790920830426 0.0128496532182883 0.122685185185185
"Pan troglodytes" 1 20 430 -2.12041463958345 0.0339710931865452 0.127906976744186
"Pan troglodytes" 1 21 429 -1.96642219856815 0.0492498612853093 0.130536130536131
"Pan troglodytes" 1 22 427 -1.92768406549779 0.0538944352789062 0.135831381733021
"Pan troglodytes" 1 23 426 -2.25871089144819 0.0239013745322399 0.143192488262911
"Pan troglodytes" 1 24 425 -2.30413348704434 0.021215151470871 0.150588235294118
"Pan troglodytes" 1 25 423 -2.36771430469067 0.0178983509815401 0.153664302600473
"Pan troglodytes" 1 26 422 -2.39118861119533 0.016793922997414 0.154028436018957
"Pan troglodytes" 1 27 422 -2.36273974385024 0.0181404038867282 0.158767772511848
"Pan troglodytes" 1 28 422 -2.33621655435546 0.0194799579470542 0.163507109004739
"Pan troglodytes" 1 29 422 -2.49680614632051 0.0125317443085982 0.165876777251185
"Pan troglodytes" 1 30 420 -3.00659787167488 0.00264188992769108 0.164285714285714
"Pan troglodytes" 1 31 419 -3.10214818415843 0.00192121760938127 0.164677804295943
"Pan troglodytes" 1 32 419 -3.16830305617024 0.00153331595480083 0.16945107398568
"Pan troglodytes" 1 33 415 -3.47797366274443 0.000505219562681022 0.178313253012048
"Pan troglodytes" 1 34 415 -3.44592353809298 0.000569111363479423 0.183132530120482
"Pan troglodytes" 1 35 413 -3.21658976005043 0.00129723946994546 0.184019370460048
"Pan troglodytes" 1 36 412 -3.29883926065656 0.00097085485952038 0.186893203883495
"Pan troglodytes" 1 37 410 -3.42271603071774 0.000619988100170525 0.18780487804878
"Pan troglodytes" 1 38 410 -3.40468368940024 0.000662407329249406 0.192682926829268
"Pan troglodytes" 1 39 409 -3.55945632431332 0.000371623327771805 0.19559902200489
"Pan troglodytes" 1 40 408 -3.55459442544582 0.00037856255015223 0.200980392156863
"Pan troglodytes" 1 41 407 -3.77195240588957 0.000161975156585428 0.206388206388206
"Pan troglodytes" 1 42 407 -3.76746711846323 0.000164912253748659 0.206388206388206
"Pan troglodytes" 1 43 405 -3.81638761816565 0.000135419711198818 0.207407407407407
"Pan troglodytes" 1 44 403 -3.71909126800063 0.000199940803195539 0.210918114143921
"Pan troglodytes" 1 45 402 -3.72254238230702 0.000197226789673903 0.216417910447761
"Pan troglodytes" 1 46 401 -3.66258894466977 0.000249679017295443 0.216957605985037
"Pan troglodytes" 1 47 398 -3.6031318761766 0.000314405910348591 0.221105527638191
"Pan troglodytes" 1 48 397 -3.62077234221786 0.00029372488642436 0.221662468513854
