"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Panthera pardus" 1 2 454 -0.433206147288465 0.664865013359367 0.0066079295154185
"Panthera pardus" 1 3 454 -0.488854837650805 0.624944471265193 0.0066079295154185
"Panthera pardus" 1 4 452 NA NA 0.0132743362831858
"Panthera pardus" 1 5 450 NA NA 0.0155555555555556
"Panthera pardus" 1 6 449 NA NA 0.0155902004454343
"Panthera pardus" 1 7 447 NA NA 0.0156599552572707
"Panthera pardus" 1 8 447 NA NA 0.0156599552572707
"Panthera pardus" 1 9 447 NA NA 0.0178970917225951
"Panthera pardus" 1 10 445 NA NA 0.0202247191011236
"Panthera pardus" 1 11 440 NA NA 0.0227272727272727
"Panthera pardus" 1 12 439 NA NA 0.0250569476082005
"Panthera pardus" 1 13 438 0.843499235444318 0.398949293171586 0.0273972602739726
"Panthera pardus" 1 14 436 0.303682373733876 0.761369887916896 0.0321100917431193
"Panthera pardus" 1 15 436 -0.157965484802104 0.874483996325968 0.036697247706422
"Panthera pardus" 1 16 435 0.38304177172386 0.701688792317896 0.0413793103448276
"Panthera pardus" 1 17 435 0.370552849754219 0.710970606054133 0.0413793103448276
"Panthera pardus" 1 18 434 0.164717789916227 0.869166113920237 0.043778801843318
"Panthera pardus" 1 19 432 0.398902676448505 0.689964917016014 0.0462962962962963
"Panthera pardus" 1 20 430 0.112070570379195 0.91076745182905 0.0558139534883721
"Panthera pardus" 1 21 429 0.00331385675005593 0.997355929701793 0.0582750582750583
"Panthera pardus" 1 22 427 -0.373308768630034 0.708918650990006 0.063231850117096
"Panthera pardus" 1 23 426 -0.11679474038594 0.907022711790757 0.0657276995305164
"Panthera pardus" 1 24 425 -0.227999914135918 0.819646307273798 0.0658823529411765
"Panthera pardus" 1 25 423 -0.0910342834882368 0.927465349860273 0.0685579196217494
"Panthera pardus" 1 26 422 -0.0914537845774137 0.92713202684839 0.0687203791469194
"Panthera pardus" 1 27 422 -0.0841134467984223 0.932966233533757 0.0687203791469194
"Panthera pardus" 1 28 422 -0.0831711541269623 0.933715448923027 0.0687203791469194
"Panthera pardus" 1 29 422 -0.487352600841502 0.626008477402366 0.0734597156398104
"Panthera pardus" 1 30 420 -0.42822656904111 0.668486174434578 0.0738095238095238
"Panthera pardus" 1 31 419 -0.748340580789853 0.454254752957651 0.0763723150357995
"Panthera pardus" 1 32 419 -0.819270981494408 0.412631824939676 0.0787589498806683
"Panthera pardus" 1 33 415 -0.813627702702239 0.415858262750009 0.0795180722891566
"Panthera pardus" 1 34 415 -0.810359219506344 0.417733748754269 0.0795180722891566
"Panthera pardus" 1 35 413 -0.638161454668423 0.523368585630325 0.0823244552058111
"Panthera pardus" 1 36 412 -0.75233566609064 0.451849224438553 0.0849514563106796
"Panthera pardus" 1 37 410 -0.770183922964173 0.441190799238048 0.0853658536585366
"Panthera pardus" 1 38 410 -0.766380885440239 0.443449702854155 0.0853658536585366
"Panthera pardus" 1 39 409 -0.780299162889939 0.435214805431099 0.0855745721271394
"Panthera pardus" 1 40 408 -0.54588896611028 0.585142263421474 0.0882352941176471
"Panthera pardus" 1 41 407 -0.689039617044878 0.490798337015764 0.0909090909090909
"Panthera pardus" 1 42 407 -0.685767606305193 0.49285966669601 0.0909090909090909
