"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Phataginus tricuspis" 1 2 454 0.933494725793971 0.350564592347925 0.0110132158590308
"Phataginus tricuspis" 1 3 454 0.987881927011219 0.323210477635569 0.0110132158590308
"Phataginus tricuspis" 1 4 452 1.38836013377937 0.165027409498519 0.0154867256637168
"Phataginus tricuspis" 1 5 450 NA NA 0.0177777777777778
"Phataginus tricuspis" 1 6 449 NA NA 0.0178173719376392
"Phataginus tricuspis" 1 7 447 NA NA 0.0178970917225951
"Phataginus tricuspis" 1 8 447 NA NA 0.0268456375838926
"Phataginus tricuspis" 1 9 447 NA NA 0.0268456375838926
"Phataginus tricuspis" 1 10 445 NA NA 0.0314606741573034
"Phataginus tricuspis" 1 11 440 NA NA 0.0295454545454545
"Phataginus tricuspis" 1 12 439 NA NA 0.0296127562642369
"Phataginus tricuspis" 1 13 438 NA NA 0.0342465753424658
"Phataginus tricuspis" 1 14 436 NA NA 0.0344036697247706
"Phataginus tricuspis" 1 15 436 0.154034274779173 0.87758271070866 0.0389908256880734
"Phataginus tricuspis" 1 16 435 0.510038344625924 0.610024598435616 0.0459770114942529
"Phataginus tricuspis" 1 17 435 0.554742724144481 0.579070648549916 0.0505747126436782
"Phataginus tricuspis" 1 18 434 0.547935588452072 0.583736131239629 0.0506912442396313
"Phataginus tricuspis" 1 19 432 0.79504513461108 0.426587247909283 0.0532407407407407
"Phataginus tricuspis" 1 20 430 0.79599033239334 0.426037654581599 0.0581395348837209
"Phataginus tricuspis" 1 21 429 1.36348308509726 0.172730311786608 0.0652680652680653
"Phataginus tricuspis" 1 22 427 1.35479187686709 0.17548387540586 0.0702576112412178
"Phataginus tricuspis" 1 23 426 1.36860122111323 0.171123962108733 0.0704225352112676
"Phataginus tricuspis" 1 24 425 1.80451185840752 0.0711511018617545 0.0752941176470588
"Phataginus tricuspis" 1 25 423 1.52744568258324 0.126650224214353 0.0756501182033097
"Phataginus tricuspis" 1 26 422 1.49668855951996 0.1344743144788 0.0829383886255924
"Phataginus tricuspis" 1 27 422 0.760012139315285 0.447247328695944 0.0924170616113744
"Phataginus tricuspis" 1 28 422 1.15375741082388 0.248599639314807 0.0971563981042654
"Phataginus tricuspis" 1 29 422 1.16141364962401 0.245473720712305 0.0971563981042654
"Phataginus tricuspis" 1 30 420 1.12492962459097 0.260618857265375 0.0976190476190476
"Phataginus tricuspis" 1 31 419 1.447447708965 0.147771571841922 0.102625298329356
"Phataginus tricuspis" 1 32 419 1.32683404583025 0.184563585551624 0.105011933174224
"Phataginus tricuspis" 1 33 415 1.1959878485654 0.231701301052338 0.101204819277108
"Phataginus tricuspis" 1 34 415 1.25105950408515 0.210912768679373 0.101204819277108
"Phataginus tricuspis" 1 35 413 1.24649235934776 0.212583692560122 0.101694915254237
"Phataginus tricuspis" 1 36 412 1.03532915934547 0.300515216559682 0.106796116504854
"Phataginus tricuspis" 1 37 410 1.0351228703028 0.300611533142321 0.107317073170732
