"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Philantomba monticola" 1 2 454 -0.26602752356944 0.79021801180997 0.121145374449339
"Philantomba monticola" 1 3 454 -0.755810606209231 0.449762756760809 0.158590308370044
"Philantomba monticola" 1 4 452 -0.415653055877514 0.677663897132452 0.190265486725664
"Philantomba monticola" 1 5 450 0.0898060863383222 0.928441311538422 0.251111111111111
"Philantomba monticola" 1 6 449 -0.275140735339191 0.783208116558772 0.302895322939866
"Philantomba monticola" 1 7 447 -0.323131990685098 0.746595283655822 0.331096196868009
"Philantomba monticola" 1 8 447 -0.0124234702406075 0.990087759884254 0.36241610738255
"Philantomba monticola" 1 9 447 0.36800077877154 0.712872653501464 0.395973154362416
"Philantomba monticola" 1 10 445 0.454198140292197 0.649686221449377 0.41123595505618
"Philantomba monticola" 1 11 440 0.335352233439804 0.737359395938706 0.429545454545455
"Philantomba monticola" 1 12 439 0.490040828733305 0.624105007701959 0.453302961275626
"Philantomba monticola" 1 13 438 0.876457870090859 0.380781170024228 0.481735159817352
"Philantomba monticola" 1 14 436 1.41387188297445 0.157399522840052 0.509174311926605
"Philantomba monticola" 1 15 436 1.13410825169853 0.256749142730931 0.527522935779816
"Philantomba monticola" 1 16 435 0.992721349308288 0.320845767820296 0.535632183908046
"Philantomba monticola" 1 17 435 0.7995611095273 0.423965127530343 0.549425287356322
"Philantomba monticola" 1 18 434 0.576892670009784 0.564011962530109 0.578341013824885
"Philantomba monticola" 1 19 432 0.494555909191209 0.620913631712011 0.587962962962963
"Philantomba monticola" 1 20 430 0.40690473690251 0.684077956757726 0.604651162790698
"Philantomba monticola" 1 21 429 0.700655403074048 0.483518093976229 0.617715617715618
"Philantomba monticola" 1 22 427 0.794598449389402 0.426847120622934 0.637002341920375
"Philantomba monticola" 1 23 426 1.166744993518 0.243313366752555 0.650234741784038
"Philantomba monticola" 1 24 425 1.20111741929312 0.229705656873924 0.654117647058824
"Philantomba monticola" 1 25 423 1.20686322636649 0.227484821762967 0.664302600472813
"Philantomba monticola" 1 26 422 1.43168154892875 0.152234979246684 0.682464454976303
"Philantomba monticola" 1 27 422 1.50786968515227 0.131587882705108 0.68957345971564
"Philantomba monticola" 1 28 422 1.37746535316426 0.168368419523141 0.696682464454976
"Philantomba monticola" 1 29 422 1.20234733903619 0.229228983018168 0.713270142180095
"Philantomba monticola" 1 30 420 1.13088644443605 0.258102889471492 0.716666666666667
"Philantomba monticola" 1 31 419 1.30168314247315 0.193024724597794 0.720763723150358
"Philantomba monticola" 1 32 419 1.28955501202253 0.197205204273138 0.730310262529833
"Philantomba monticola" 1 33 415 1.31256730755469 0.189328791855757 0.742168674698795
"Philantomba monticola" 1 34 415 1.29937340410131 0.193815814362892 0.744578313253012
"Philantomba monticola" 1 35 413 1.19416976146083 0.232411568948302 0.750605326876513
"Philantomba monticola" 1 36 412 1.25540461041913 0.209331916536322 0.75
"Philantomba monticola" 1 37 410 1.31839959267012 0.18736991708751 0.760975609756098
"Philantomba monticola" 1 38 410 1.40022426731189 0.161446171057467 0.765853658536585
"Philantomba monticola" 1 39 409 1.4847324895962 0.137614701620326 0.777506112469438
"Philantomba monticola" 1 40 408 1.51446357146863 0.129908306357475 0.784313725490196
"Philantomba monticola" 1 41 407 1.66808719288999 0.0952984191654151 0.791154791154791
"Philantomba monticola" 1 42 407 1.76977472986883 0.0767646751418387 0.793611793611794
"Philantomba monticola" 1 43 405 1.93231443728439 0.0533207075351496 0.795061728395062
"Philantomba monticola" 1 44 403 1.88473647365158 0.0594654254384736 0.799007444168734
"Philantomba monticola" 1 45 402 2.05995259685554 0.039403072740327 0.808457711442786
"Philantomba monticola" 1 46 401 2.10127000315262 0.0356172713892722 0.807980049875312
"Philantomba monticola" 1 47 398 2.12590044857987 0.0335115495412094 0.811557788944724
"Philantomba monticola" 1 48 397 2.1682929130144 0.0301364073088529 0.811083123425693
"Philantomba monticola" 1 49 395 2.06576383100192 0.0388507848407481 0.812658227848101
"Philantomba monticola" 1 50 391 2.20824493491693 0.0272272035702367 0.818414322250639
"Philantomba monticola" 1 51 388 2.16985655118975 0.0300177147065872 0.822164948453608
"Philantomba monticola" 1 52 386 2.49874219102258 0.0124634945481464 0.823834196891192
"Philantomba monticola" 1 53 382 2.73421668293111 0.00625288808067516 0.829842931937173
"Philantomba monticola" 1 54 381 2.65358350554997 0.00796420617837356 0.829396325459318
"Philantomba monticola" 1 55 376 2.58907679246592 0.00962336312542301 0.832446808510638
"Philantomba monticola" 1 56 373 2.71996791213548 0.00652882514791969 0.831099195710456
"Philantomba monticola" 1 57 370 3.14795450660446 0.00164417279872659 0.837837837837838
"Philantomba monticola" 1 58 366 3.21017224701839 0.00132655454401426 0.836065573770492
"Philantomba monticola" 1 59 364 3.44071179916261 0.00058018615506752 0.840659340659341
"Philantomba monticola" 1 60 361 3.72251423295734 0.000197248786093151 0.839335180055402
"Philantomba monticola" 1 61 356 3.8998402744309 9.62561685212696e-05 0.848314606741573
"Philantomba monticola" 1 62 351 3.84603420941962 0.000120045009821053 0.846153846153846
"Philantomba monticola" 1 63 349 3.95331208784765 7.7076799366831e-05 0.845272206303725
"Philantomba monticola" 1 64 341 3.91212233704626 9.14885428108199e-05 0.847507331378299
"Philantomba monticola" 1 65 327 3.42399831183238 0.000617070042795613 0.840978593272171
"Philantomba monticola" 1 66 320 2.9428354740673 0.00325221206129885 0.84375
"Philantomba monticola" 1 67 304 1.03205091343315 0.302048267193974 0.842105263157895
"Philantomba monticola" 1 68 296 1.07340705784794 0.283088519220238 0.841216216216216
"Philantomba monticola" 1 69 283 1.1860499945335 0.235602556609428 0.855123674911661
"Philantomba monticola" 1 70 272 1.23954985156779 0.215141939074751 0.856617647058823
"Philantomba monticola" 1 71 268 1.0967778497715 0.272738515258912 0.858208955223881
