"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Potamochoerus porcus" 1 2 454 NA NA 0.00220264317180617
"Potamochoerus porcus" 1 3 454 -0.601755950688572 0.547336600414233 0.0066079295154185
"Potamochoerus porcus" 1 4 452 NA NA 0.0132743362831858
"Potamochoerus porcus" 1 5 450 NA NA 0.0222222222222222
"Potamochoerus porcus" 1 6 449 -2.13991650775037 0.0323615147823123 0.0289532293986637
"Potamochoerus porcus" 1 7 447 -0.883667579413381 0.376875686514109 0.0402684563758389
"Potamochoerus porcus" 1 8 447 -0.876496420559246 0.380760221445472 0.0402684563758389
"Potamochoerus porcus" 1 9 447 -0.701254829785878 0.483143997650272 0.0536912751677852
"Potamochoerus porcus" 1 10 445 -0.945606037949924 0.344349563444729 0.0629213483146067
"Potamochoerus porcus" 1 11 440 -0.851835191249469 0.394305571340647 0.0681818181818182
"Potamochoerus porcus" 1 12 439 -1.06911707942606 0.285016916540154 0.0774487471526196
"Potamochoerus porcus" 1 13 438 -1.26153081371992 0.207117665389951 0.0821917808219178
"Potamochoerus porcus" 1 14 436 -1.24921441556653 0.211586660807577 0.0871559633027523
"Potamochoerus porcus" 1 15 436 -1.51512877186947 0.129739796659939 0.0917431192660551
"Potamochoerus porcus" 1 16 435 -0.960906423595175 0.336599220683671 0.0988505747126437
"Potamochoerus porcus" 1 17 435 -1.17986898535808 0.23805232689909 0.101149425287356
"Potamochoerus porcus" 1 18 434 -0.861735193954681 0.388833254073944 0.105990783410138
"Potamochoerus porcus" 1 19 432 -1.18453571235955 0.236201068208419 0.111111111111111
"Potamochoerus porcus" 1 20 430 -1.39169429853238 0.164014989556326 0.118604651162791
"Potamochoerus porcus" 1 21 429 -1.26622547542839 0.205432369298534 0.121212121212121
"Potamochoerus porcus" 1 22 427 -1.29477347769896 0.195398383871431 0.126463700234192
"Potamochoerus porcus" 1 23 426 -1.33529577959035 0.181779559395494 0.13849765258216
"Potamochoerus porcus" 1 24 425 -1.60174861365838 0.109211210368923 0.143529411764706
"Potamochoerus porcus" 1 25 423 -1.56701264474481 0.117111736031682 0.153664302600473
"Potamochoerus porcus" 1 26 422 -1.74177391502453 0.0815480128064039 0.158767772511848
"Potamochoerus porcus" 1 27 422 -1.64234176591921 0.100519196074809 0.16824644549763
"Potamochoerus porcus" 1 28 422 -1.71693066905151 0.0859918404442861 0.175355450236967
"Potamochoerus porcus" 1 29 422 -1.70319961702502 0.0885307183322561 0.180094786729858
"Potamochoerus porcus" 1 30 420 -1.75264864469566 0.0796623359098516 0.183333333333333
"Potamochoerus porcus" 1 31 419 -1.91293622697189 0.0557562171151614 0.195704057279236
"Potamochoerus porcus" 1 32 419 -1.9582489183285 0.0502008115522606 0.195704057279236
"Potamochoerus porcus" 1 33 415 -1.99037840984656 0.0465492663945564 0.202409638554217
"Potamochoerus porcus" 1 34 415 -2.35217128392586 0.0186641782427208 0.209638554216867
"Potamochoerus porcus" 1 35 413 -2.42573149094001 0.0152775689040106 0.213075060532688
"Potamochoerus porcus" 1 36 412 -2.53023931143463 0.0113984752689389 0.220873786407767
"Potamochoerus porcus" 1 37 410 -2.24884918438989 0.0245220929285174 0.221951219512195
"Potamochoerus porcus" 1 38 410 -2.22941885400802 0.0257860489133534 0.226829268292683
"Potamochoerus porcus" 1 39 409 -2.21582643220037 0.0267033914722418 0.227383863080685
"Potamochoerus porcus" 1 40 408 -2.57988414699555 0.00988334659066025 0.237745098039216
"Potamochoerus porcus" 1 41 407 -2.59405868310125 0.00948502959828704 0.243243243243243
"Potamochoerus porcus" 1 42 407 -2.61089873293059 0.00903046301869718 0.243243243243243
"Potamochoerus porcus" 1 43 405 -2.6481407761667 0.008093581413387 0.244444444444444
"Potamochoerus porcus" 1 44 403 -2.93181325350445 0.00336989318392265 0.250620347394541
"Potamochoerus porcus" 1 45 402 -2.86226442200511 0.00420625823210407 0.256218905472637
"Potamochoerus porcus" 1 46 401 -2.71318540643454 0.00666398097508051 0.259351620947631
"Potamochoerus porcus" 1 47 398 -2.61976152502403 0.00879912751644175 0.263819095477387
"Potamochoerus porcus" 1 48 397 -2.55739031636269 0.0105460810523795 0.269521410579345
"Potamochoerus porcus" 1 49 395 -2.53831459494914 0.0111387805454507 0.268354430379747
"Potamochoerus porcus" 1 50 391 -2.80643631807256 0.00500928127565859 0.273657289002558
"Potamochoerus porcus" 1 51 388 -2.82709307927597 0.00469726722977333 0.278350515463918
"Potamochoerus porcus" 1 52 386 -2.87183739238712 0.00408092894321516 0.274611398963731
"Potamochoerus porcus" 1 53 382 -3.13079363249236 0.00174334619985267 0.277486910994764
"Potamochoerus porcus" 1 54 381 -3.07227317603395 0.0021243521516338 0.278215223097113
"Potamochoerus porcus" 1 55 376 -2.98677546548519 0.00281936710101329 0.273936170212766
"Potamochoerus porcus" 1 56 373 -2.95213938541651 0.00315580441985821 0.278820375335121
