"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Protoxerus stangeri" 1 2 454 NA NA 0.0176211453744493
"Protoxerus stangeri" 1 3 454 NA NA 0.0198237885462555
"Protoxerus stangeri" 1 4 452 -1.08343464000083 0.278615547160907 0.0376106194690266
"Protoxerus stangeri" 1 5 450 -1.90433017817682 0.0568671962795427 0.0466666666666667
"Protoxerus stangeri" 1 6 449 -2.35175948639687 0.0186848520983093 0.0534521158129176
"Protoxerus stangeri" 1 7 447 -2.8541601026815 0.00431507789545926 0.0604026845637584
"Protoxerus stangeri" 1 8 447 -2.85120884530926 0.00435533528065168 0.0604026845637584
"Protoxerus stangeri" 1 9 447 -2.8761986971515 0.0040249625667692 0.0604026845637584
"Protoxerus stangeri" 1 10 445 -2.88871948320201 0.00386813975042731 0.0606741573033708
"Protoxerus stangeri" 1 11 440 -3.13591797585294 0.00171317111230074 0.0659090909090909
"Protoxerus stangeri" 1 12 439 -3.06262269213101 0.00219406510905789 0.0660592255125285
"Protoxerus stangeri" 1 13 438 -3.27698873037111 0.00104920557079484 0.0753424657534247
"Protoxerus stangeri" 1 14 436 -3.38115094303468 0.000721828788099935 0.0779816513761468
"Protoxerus stangeri" 1 15 436 -3.35858646251003 0.000783422087375317 0.0779816513761468
"Protoxerus stangeri" 1 16 435 -3.61575897666869 0.000299468915272846 0.0827586206896552
"Protoxerus stangeri" 1 17 435 -3.7431619815433 0.000181719001186439 0.0850574712643678
"Protoxerus stangeri" 1 18 434 -3.61316782073957 0.000302478790279647 0.0875576036866359
"Protoxerus stangeri" 1 19 432 -3.62564372448538 0.00028824252776202 0.0902777777777778
"Protoxerus stangeri" 1 20 430 -3.62469284566285 0.000289305079367555 0.0906976744186047
"Protoxerus stangeri" 1 21 429 -3.13933313216249 0.00169332824863463 0.102564102564103
"Protoxerus stangeri" 1 22 427 -3.14692483252661 0.0016499737296337 0.103044496487119
"Protoxerus stangeri" 1 23 426 -3.19162538311908 0.00141474692166894 0.103286384976526
"Protoxerus stangeri" 1 24 425 -3.35671493902356 0.000788743874163277 0.105882352941176
"Protoxerus stangeri" 1 25 423 -3.38888970681307 0.000701762309738114 0.106382978723404
"Protoxerus stangeri" 1 26 422 -3.40626221351035 0.000658588926075267 0.106635071090047
"Protoxerus stangeri" 1 27 422 -3.29680916097534 0.000977899226273915 0.109004739336493
"Protoxerus stangeri" 1 28 422 -3.30297160046215 0.000956660758998309 0.113744075829384
"Protoxerus stangeri" 1 29 422 -3.22593490190063 0.00125561912274735 0.118483412322275
"Protoxerus stangeri" 1 30 420 -3.15713882226405 0.00159325475696638 0.116666666666667
