"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Smutsia gigantea" 1 2 454 NA NA 0
"Smutsia gigantea" 1 3 454 -0.00748889547724222 0.994024781773208 0.00220264317180617
"Smutsia gigantea" 1 4 452 NA NA 0.00884955752212389
"Smutsia gigantea" 1 5 450 NA NA 0.00888888888888889
"Smutsia gigantea" 1 6 449 -1.11647704552516 0.264217990457308 0.0111358574610245
"Smutsia gigantea" 1 7 447 NA NA 0.0111856823266219
"Smutsia gigantea" 1 8 447 NA NA 0.0111856823266219
"Smutsia gigantea" 1 9 447 NA NA 0.0111856823266219
"Smutsia gigantea" 1 10 445 NA NA 0.0112359550561798
"Smutsia gigantea" 1 11 440 NA NA 0.0181818181818182
"Smutsia gigantea" 1 12 439 NA NA 0.020501138952164
"Smutsia gigantea" 1 13 438 NA NA 0.0205479452054795
"Smutsia gigantea" 1 14 436 NA NA 0.0206422018348624
"Smutsia gigantea" 1 15 436 NA NA 0.0206422018348624
"Smutsia gigantea" 1 16 435 NA NA 0.0229885057471264
"Smutsia gigantea" 1 17 435 NA NA 0.0252873563218391
"Smutsia gigantea" 1 18 434 NA NA 0.0253456221198157
"Smutsia gigantea" 1 19 432 NA NA 0.025462962962963
"Smutsia gigantea" 1 20 430 NA NA 0.027906976744186
"Smutsia gigantea" 1 21 429 NA NA 0.027972027972028
"Smutsia gigantea" 1 22 427 NA NA 0.0304449648711944
"Smutsia gigantea" 1 23 426 NA NA 0.0305164319248826
"Smutsia gigantea" 1 24 425 NA NA 0.0305882352941176
"Smutsia gigantea" 1 25 423 -0.264341409908333 0.791516854212901 0.0354609929078014
"Smutsia gigantea" 1 26 422 -0.270012716859142 0.787150470218955 0.0355450236966825
"Smutsia gigantea" 1 27 422 -0.268001483818575 0.788698176580107 0.0355450236966825
"Smutsia gigantea" 1 28 422 -0.268545501651257 0.788279455369727 0.0355450236966825
"Smutsia gigantea" 1 29 422 -0.228642828027204 0.819146534219027 0.0402843601895735
"Smutsia gigantea" 1 30 420 -0.232108228687127 0.81645395382521 0.0404761904761905
"Smutsia gigantea" 1 31 419 -0.453811118142155 0.649964780611288 0.0429594272076372
"Smutsia gigantea" 1 32 419 -0.642103354106253 0.52080607827302 0.045346062052506
"Smutsia gigantea" 1 33 415 -0.635084838502162 0.52537308480854 0.0457831325301205
"Smutsia gigantea" 1 34 415 -0.363991238513267 0.715864551936416 0.0481927710843374
"Smutsia gigantea" 1 35 413 -0.389186355450251 0.69713829616068 0.0484261501210654
"Smutsia gigantea" 1 36 412 -0.382340299186871 0.702208966731098 0.0485436893203883
"Smutsia gigantea" 1 37 410 -0.598090574637379 0.549779498964291 0.0512195121951219
"Smutsia gigantea" 1 38 410 -0.599119837397833 0.549092974005526 0.0512195121951219
"Smutsia gigantea" 1 39 409 -0.358556643143156 0.719926786535543 0.0537897310513447
"Smutsia gigantea" 1 40 408 -0.347374785074885 0.728309773902335 0.053921568627451
"Smutsia gigantea" 1 41 407 -0.357991950224325 0.720349337673831 0.0540540540540541
"Smutsia gigantea" 1 42 407 -0.370115807513502 0.71129620445869 0.0540540540540541
"Smutsia gigantea" 1 43 405 -0.143008766344307 0.886283257817814 0.0518518518518519
"Smutsia gigantea" 1 44 403 -0.182568338820075 0.855136728720451 0.0521091811414392
"Smutsia gigantea" 1 45 402 -0.192212113684561 0.847576057475121 0.0522388059701493
