"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Syncerus caffer" 1 2 454 NA NA 0
"Syncerus caffer" 1 3 454 NA NA 0
"Syncerus caffer" 1 4 452 NA NA 0
"Syncerus caffer" 1 5 450 NA NA 0.00222222222222222
"Syncerus caffer" 1 6 449 NA NA 0.0022271714922049
"Syncerus caffer" 1 7 447 NA NA 0.00447427293064877
"Syncerus caffer" 1 8 447 NA NA 0.00447427293064877
"Syncerus caffer" 1 9 447 NA NA 0.00447427293064877
"Syncerus caffer" 1 10 445 NA NA 0.00449438202247191
"Syncerus caffer" 1 11 440 NA NA 0.00454545454545455
"Syncerus caffer" 1 12 439 NA NA 0.00455580865603645
"Syncerus caffer" 1 13 438 NA NA 0.00684931506849315
"Syncerus caffer" 1 14 436 NA NA 0.00688073394495413
"Syncerus caffer" 1 15 436 NA NA 0.00688073394495413
"Syncerus caffer" 1 16 435 NA NA 0.00689655172413793
"Syncerus caffer" 1 17 435 1.09262591606344 0.274558079169984 0.00919540229885057
"Syncerus caffer" 1 18 434 1.09561775080756 0.273246090239083 0.00921658986175115
"Syncerus caffer" 1 19 432 1.09299073857588 0.274397866103267 0.00925925925925926
"Syncerus caffer" 1 20 430 1.07361526049828 0.282995155071122 0.00930232558139535
"Syncerus caffer" 1 21 429 NA NA 0.00932400932400932
"Syncerus caffer" 1 22 427 1.04960356796262 0.293900415977353 0.00936768149882904
"Syncerus caffer" 1 23 426 NA NA 0.00938967136150235
"Syncerus caffer" 1 24 425 1.06120454038028 0.288596956438252 0.00941176470588235
"Syncerus caffer" 1 25 423 1.06765559622524 0.285675895144104 0.00945626477541371
"Syncerus caffer" 1 26 422 1.06679451946834 0.286064633938593 0.00947867298578199
"Syncerus caffer" 1 27 422 1.06867534312295 0.28521598567945 0.00947867298578199
"Syncerus caffer" 1 28 422 1.07051110487432 0.28438931315799 0.00947867298578199
"Syncerus caffer" 1 29 422 NA NA 0.00947867298578199
"Syncerus caffer" 1 30 420 NA NA 0.00952380952380952
"Syncerus caffer" 1 31 419 1.06225024992946 0.288122093101395 0.00954653937947494
"Syncerus caffer" 1 32 419 1.0636692934098 0.287478539552663 0.00954653937947494
