"species" "time_interval" "study_duration" "n_cams" "z" "P" "p_presence"
"Xenogale naso" 1 2 454 -1.35880955876965 0.174206943548469 0.0110132158590308
"Xenogale naso" 1 3 454 NA NA 0.0220264317180617
"Xenogale naso" 1 4 452 NA NA 0.0309734513274336
"Xenogale naso" 1 5 450 NA NA 0.0355555555555556
"Xenogale naso" 1 6 449 -2.2782670018736 0.0227106744324728 0.0467706013363029
"Xenogale naso" 1 7 447 -2.42565764657275 0.0152806775004275 0.0536912751677852
"Xenogale naso" 1 8 447 -2.62494865626228 0.00866620342816474 0.0559284116331096
"Xenogale naso" 1 9 447 -2.248164127509 0.0245657261799992 0.0671140939597315
"Xenogale naso" 1 10 445 -2.26323676406708 0.0236210980609564 0.0674157303370786
"Xenogale naso" 1 11 440 -2.39343681356531 0.0166913560414387 0.0772727272727273
"Xenogale naso" 1 12 439 -2.27764748314753 0.0227475890290238 0.0865603644646925
"Xenogale naso" 1 13 438 -2.30685517207686 0.0210628953068151 0.0867579908675799
"Xenogale naso" 1 14 436 -2.11312369754842 0.0345901818752749 0.0894495412844037
"Xenogale naso" 1 15 436 -1.84131495373837 0.0655754176078205 0.100917431192661
"Xenogale naso" 1 16 435 -1.796931546117 0.0723464877952872 0.105747126436782
"Xenogale naso" 1 17 435 -1.59128615037752 0.111545192230153 0.12183908045977
"Xenogale naso" 1 18 434 -1.42642991676087 0.1537442832485 0.129032258064516
"Xenogale naso" 1 19 432 -1.46344440976061 0.143345814317296 0.12962962962963
"Xenogale naso" 1 20 430 -1.3814075726092 0.167153678833288 0.132558139534884
"Xenogale naso" 1 21 429 -1.61182539687021 0.106999939983643 0.137529137529138
"Xenogale naso" 1 22 427 -1.77996120597991 0.075082309773013 0.14519906323185
"Xenogale naso" 1 23 426 -1.70146852608665 0.0888550430819575 0.147887323943662
"Xenogale naso" 1 24 425 -1.42651588654413 0.153719484528097 0.155294117647059
"Xenogale naso" 1 25 423 -1.58560085639547 0.112829881858373 0.156028368794326
"Xenogale naso" 1 26 422 -1.59925871619476 0.109763128581328 0.158767772511848
"Xenogale naso" 1 27 422 -1.59067911405027 0.111681809646696 0.163507109004739
"Xenogale naso" 1 28 422 -1.64001900119735 0.101001216239186 0.163507109004739
"Xenogale naso" 1 29 422 -1.48780608166475 0.136802041358527 0.16824644549763
"Xenogale naso" 1 30 420 -1.74865915461464 0.0803499544116499 0.171428571428571
"Xenogale naso" 1 31 419 -1.68642061799329 0.0917148129706362 0.174224343675418
"Xenogale naso" 1 32 419 -1.74399755451562 0.0811595162648064 0.176610978520286
"Xenogale naso" 1 33 415 -2.23679864627289 0.0252995030749187 0.187951807228916
"Xenogale naso" 1 34 415 -2.30434738121176 0.0212031512144935 0.190361445783133
"Xenogale naso" 1 35 413 -2.13910826061507 0.0324269015556825 0.191283292978208
"Xenogale naso" 1 36 412 -2.29715397203895 0.021609987785481 0.194174757281553
"Xenogale naso" 1 37 410 -2.50970484435576 0.0120832110765229 0.2
"Xenogale naso" 1 38 410 -2.24139210052579 0.0250006877587509 0.214634146341463
"Xenogale naso" 1 39 409 -2.44477627657156 0.0144942021040332 0.220048899755501
"Xenogale naso" 1 40 408 -2.2801720167599 0.0225974883063277 0.225490196078431
"Xenogale naso" 1 41 407 -2.2903129537943 0.0220031814292939 0.230958230958231
"Xenogale naso" 1 42 407 -2.45521840538545 0.0140799015694955 0.233415233415233
"Xenogale naso" 1 43 405 -2.3719507705109 0.0176944481348067 0.232098765432099
"Xenogale naso" 1 44 403 -2.52600231905499 0.0115368719696346 0.233250620347395
"Xenogale naso" 1 45 402 -2.42125019985266 0.015467227436768 0.236318407960199
"Xenogale naso" 1 46 401 -2.43448360689526 0.0149130553530733 0.241895261845387
"Xenogale naso" 1 47 398 -2.56186940687919 0.0104110457735439 0.251256281407035
"Xenogale naso" 1 48 397 -2.49603106972479 0.0125591600596118 0.254408060453401
"Xenogale naso" 1 49 395 -2.54918781329888 0.0107974134192408 0.260759493670886
"Xenogale naso" 1 50 391 -2.62563153976601 0.0086488383881251 0.263427109974425
"Xenogale naso" 1 51 388 -2.79121708252724 0.0052510241236175 0.265463917525773
"Xenogale naso" 1 52 386 -2.89648078681521 0.00377373749567004 0.266839378238342
"Xenogale naso" 1 53 382 -2.79582923219773 0.00517667453085148 0.264397905759162
"Xenogale naso" 1 54 381 -2.83163958403023 0.0046310015712246 0.26509186351706
"Xenogale naso" 1 55 376 -2.86672079561775 0.00414748736471888 0.271276595744681
"Xenogale naso" 1 56 373 -2.87895175248212 0.0039899937063713 0.276139410187668
"Xenogale naso" 1 57 370 -2.77607526367621 0.00550194703435332 0.278378378378378
"Xenogale naso" 1 58 366 -2.54691367577238 0.0108680313919354 0.286885245901639
"Xenogale naso" 1 59 364 -2.54159500908178 0.0110347951098683 0.288461538461538
"Xenogale naso" 1 60 361 -2.71454937358314 0.00663660067474408 0.290858725761773
"Xenogale naso" 1 61 356 -2.65215473185313 0.00799798802854601 0.292134831460674
"Xenogale naso" 1 62 351 -2.69657774331892 0.00700560424127234 0.293447293447293
"Xenogale naso" 1 63 349 -2.84529966554319 0.00443696595946239 0.292263610315186
"Xenogale naso" 1 64 341 -2.51234306993826 0.0119932433176357 0.293255131964809
"Xenogale naso" 1 65 327 -2.1066305655528 0.0351496151359762 0.290519877675841
"Xenogale naso" 1 66 320 -1.76469709842633 0.0776146865071813 0.290625
"Xenogale naso" 1 67 304 -0.360822473901598 0.718232161252711 0.282894736842105
"Xenogale naso" 1 68 296 -0.211602096071289 0.832417473932558 0.283783783783784
"Xenogale naso" 1 69 283 -1.34425608530221 0.17886559095242 0.27208480565371
"Xenogale naso" 1 70 272 -1.51460636908745 0.129872118308149 0.279411764705882
"Xenogale naso" 1 71 268 -1.39816209236226 0.162064397341243 0.283582089552239
"Xenogale naso" 1 72 249 -1.53497860566762 0.124789083346241 0.240963855421687
"Xenogale naso" 1 73 231 NA NA 0.220779220779221
"Xenogale naso" 1 74 225 NA NA 0.226666666666667
"Xenogale naso" 1 75 218 NA NA 0.229357798165138
"Xenogale naso" 1 76 216 NA NA 0.231481481481481
"Xenogale naso" 1 77 211 NA NA 0.232227488151659
"Xenogale naso" 1 78 209 NA NA 0.23444976076555
"Xenogale naso" 1 79 195 NA NA 0.256410256410256
"Xenogale naso" 1 80 180 NA NA 0.266666666666667
"Xenogale naso" 1 81 176 NA NA 0.261363636363636
"Xenogale naso" 1 82 170 NA NA 0.264705882352941
"Xenogale naso" 1 83 166 NA NA 0.271084337349398
"Xenogale naso" 1 84 166 NA NA 0.271084337349398
"Xenogale naso" 1 85 166 NA NA 0.271084337349398
"Xenogale naso" 1 86 165 NA NA 0.266666666666667
"Xenogale naso" 1 87 163 NA NA 0.276073619631902
"Xenogale naso" 1 88 158 NA NA 0.278481012658228
"Xenogale naso" 1 89 153 NA NA 0.281045751633987
"Xenogale naso" 1 90 151 NA NA 0.291390728476821
"Xenogale naso" 1 91 150 NA NA 0.293333333333333
"Xenogale naso" 1 92 146 NA NA 0.294520547945205
"Xenogale naso" 1 93 142 NA NA 0.28169014084507
"Xenogale naso" 1 94 142 NA NA 0.28169014084507
"Xenogale naso" 1 95 127 NA NA 0.291338582677165
"Xenogale naso" 1 96 105 NA NA 0.304761904761905
"Xenogale naso" 1 97 89 NA NA 0.303370786516854
"Xenogale naso" 1 98 75 NA NA 0.333333333333333
"Xenogale naso" 1 99 75 NA NA 0.333333333333333
"Xenogale naso" 1 100 75 NA NA 0.333333333333333
"Xenogale naso" 1 101 75 NA NA 0.333333333333333
"Xenogale naso" 1 102 75 NA NA 0.333333333333333
"Xenogale naso" 1 103 75 NA NA 0.333333333333333
"Xenogale naso" 1 104 75 NA NA 0.333333333333333
"Xenogale naso" 1 105 73 NA NA 0.328767123287671
"Xenogale naso" 1 106 61 NA NA 0.311475409836066
"Xenogale naso" 1 107 56 NA NA 0.321428571428571
"Xenogale naso" 1 108 49 NA NA 0.326530612244898
"Xenogale naso" 1 109 48 NA NA 0.333333333333333
"Xenogale naso" 1 110 47 NA NA 0.319148936170213
"Xenogale naso" 1 111 45 NA NA 0.311111111111111
"Xenogale naso" 1 112 45 NA NA 0.311111111111111
"Xenogale naso" 1 113 45 NA NA 0.311111111111111
"Xenogale naso" 1 114 45 NA NA 0.311111111111111
"Xenogale naso" 1 115 44 NA NA 0.295454545454545
"Xenogale naso" 1 116 44 NA NA 0.295454545454545
"Xenogale naso" 1 117 43 NA NA 0.302325581395349
"Xenogale naso" 1 118 43 NA NA 0.302325581395349
"Xenogale naso" 1 119 43 NA NA 0.302325581395349
"Xenogale naso" 1 120 43 NA NA 0.302325581395349
"Xenogale naso" 1 121 43 NA NA 0.302325581395349
"Xenogale naso" 1 122 43 NA NA 0.302325581395349
"Xenogale naso" 1 123 43 NA NA 0.302325581395349
"Xenogale naso" 1 124 43 NA NA 0.302325581395349
"Xenogale naso" 1 125 43 NA NA 0.302325581395349
"Xenogale naso" 1 126 43 NA NA 0.302325581395349
"Xenogale naso" 1 127 43 NA NA 0.325581395348837
"Xenogale naso" 1 128 42 NA NA 0.333333333333333
"Xenogale naso" 1 129 42 NA NA 0.333333333333333
"Xenogale naso" 1 130 41 NA NA 0.317073170731707
"Xenogale naso" 1 131 41 NA NA 0.317073170731707
"Xenogale naso" 1 132 41 NA NA 0.317073170731707
"Xenogale naso" 1 133 41 NA NA 0.317073170731707
"Xenogale naso" 1 134 41 NA NA 0.317073170731707
"Xenogale naso" 1 135 41 NA NA 0.317073170731707
"Xenogale naso" 1 136 41 NA NA 0.317073170731707
"Xenogale naso" 1 137 41 NA NA 0.317073170731707
"Xenogale naso" 1 138 41 NA NA 0.317073170731707
"Xenogale naso" 1 139 40 NA NA 0.35
"Xenogale naso" 1 140 40 NA NA 0.35
"Xenogale naso" 1 141 40 NA NA 0.35
"Xenogale naso" 1 142 40 NA NA 0.35
"Xenogale naso" 1 143 40 NA NA 0.35
"Xenogale naso" 1 144 40 NA NA 0.35
"Xenogale naso" 1 145 40 NA NA 0.35
"Xenogale naso" 1 146 40 NA NA 0.35
"Xenogale naso" 1 147 40 NA NA 0.35
"Xenogale naso" 1 148 40 NA NA 0.35
"Xenogale naso" 1 149 40 NA NA 0.35
"Xenogale naso" 1 150 40 NA NA 0.35
"Xenogale naso" 1 151 40 NA NA 0.35
"Xenogale naso" 1 152 40 NA NA 0.35
"Xenogale naso" 1 153 40 NA NA 0.35
"Xenogale naso" 1 154 39 NA NA 0.358974358974359
"Xenogale naso" 1 155 39 NA NA 0.358974358974359
"Xenogale naso" 1 156 39 NA NA 0.358974358974359
"Xenogale naso" 1 157 39 NA NA 0.358974358974359
"Xenogale naso" 1 158 39 NA NA 0.358974358974359
"Xenogale naso" 1 159 39 NA NA 0.358974358974359
"Xenogale naso" 1 160 39 NA NA 0.358974358974359
"Xenogale naso" 1 161 39 NA NA 0.358974358974359
"Xenogale naso" 1 162 39 NA NA 0.358974358974359
"Xenogale naso" 1 163 39 NA NA 0.358974358974359
"Xenogale naso" 1 164 39 NA NA 0.358974358974359
"Xenogale naso" 1 165 39 NA NA 0.358974358974359
"Xenogale naso" 1 166 39 NA NA 0.358974358974359
"Xenogale naso" 1 167 39 NA NA 0.358974358974359
"Xenogale naso" 1 168 39 NA NA 0.358974358974359
"Xenogale naso" 1 169 39 NA NA 0.358974358974359
"Xenogale naso" 1 170 39 NA NA 0.358974358974359
"Xenogale naso" 1 171 39 NA NA 0.358974358974359
"Xenogale naso" 1 172 39 NA NA 0.358974358974359
"Xenogale naso" 1 173 38 NA NA 0.368421052631579
"Xenogale naso" 1 174 38 NA NA 0.368421052631579
"Xenogale naso" 1 175 37 NA NA 0.351351351351351
"Xenogale naso" 1 176 37 NA NA 0.351351351351351
"Xenogale naso" 1 177 37 NA NA 0.351351351351351
"Xenogale naso" 1 178 37 NA NA 0.351351351351351
"Xenogale naso" 1 179 37 NA NA 0.351351351351351
"Xenogale naso" 1 180 37 NA NA 0.351351351351351
